FIR No.,FIR Date,Unit Name,PS Name,Crime Head,Occurrence From,Occurrence To,MO - Tools,MO - Entry Point,MO - Entry,MO - Premises,MO - Search,Accused Count,MO - Concealment,MO - Target,Property Lost,Came By,Fled By,Vehicle Category,MO - Vehicle Start,Place Of Theft,Offender Vehicle,Victim Was,Fled Towards,ATM Location Type,MO - ATM,Alarm,Brief Facts
KA-BEN-03/0012/2021,19-Mar-2021 0252 hrs,Bengaluru Urban,KA-BEN-03,Burglary - Commercial,17-Mar-2021 1132 hrs,18-Mar-2021 0253 hrs,None Observed,,Forced - lock,,Targeted,Single,None,Random,,Bike,Bike,,,,,,,,,,"It is alleged that between 17-Mar-2021 1132 hrs and 18-Mar-2021 0253 hrs unknown accused committed break-in at commercial premises within Bengaluru Urban. It is stated that the accused went straight to where the valuables were kept, fled on a two-wheeler, acted alone, struck while the premises were closed for the night, left no sign of tools, broke the lock, made no attempt to avoid identification, got in through the door and came on a two-wheeler. The complainant does not suspect anyone. Street lights in the area were reported not working."
KA-DHA-04/0010/2021,19-Mar-2021 0352 hrs,Dharwad,KA-DHA-04,Theft - Chain Snatching,18-Mar-2021 0809 hrs,18-Mar-2021 0814 hrs,None Observed,,,,,Two-Three,None,Random,Documents,Bike,Bike,,,,Motorcycle,Walking On Road,,,,,"It is alleged that between 18-Mar-2021 0809 hrs and 18-Mar-2021 0814 hrs unknown accused committed chain snatching within Dharwad. It is stated that the accused were two or three persons, targeted a victim who was walking, fled on a two-wheeler, appear to have picked the target by chance, struck during the day, took documents, made no attempt to avoid identification and rode a motorcycle. A spot panchnama was drawn up in the presence of witnesses. The complainant does not suspect anyone."
KA-MYS-04/0009/2021,19-Mar-2021 0604 hrs,Mysuru,KA-MYS-04,Cheating - ATM,18-Mar-2021 0302 hrs,19-Mar-2021 0109 hrs,Screwdriver,,,,,Single,Face Covered,Random,Cash,Walking,Walking,,,,,,,WLA,Explosion,Disabled,"Brief facts: the complainant states that on or between 18-Mar-2021 0302 hrs and 19-Mar-2021 0109 hrs a ATM tampering was committed in Mysuru limits. It is stated that the accused used a screwdriver, acted alone, used explosives on the machine, targeted a white-label ATM, took cash, appear to have picked the target by chance, came on foot and fled on foot. The total value of the stolen property is estimated at Rs. 135,062. The complainant does not suspect anyone."
KA-KAL-05/0016/2021,19-Mar-2021 1102 hrs,Kalaburagi,KA-KAL-05,Burglary - Dwelling,13-Mar-2021 1424 hrs,14-Mar-2021 1646 hrs,Screwdriver,Door,Unforced,,Ransacked,Gang (4+),CCTV Tampered,Random,Cash,Car/Jeep,Car/Jeep,,,,,,,,,,"It is alleged that between 13-Mar-2021 1424 hrs and 14-Mar-2021 1646 hrs unknown accused committed house burglary within Kalaburagi. It is stated that the accused got in through the door, used a screwdriver, ransacked the place, fled in a four-wheeler, took cash, appear to have picked the target by chance, were a group of four or more and came in a four-wheeler. Neighbours stated they did not hear anything unusual. A relative of the complainant was the first to notice."
KA-BEL-05/0016/2021,19-Mar-2021 1459 hrs,Belagavi,KA-BEL-05,Burglary - Commercial,10-Mar-2021 1218 hrs,10-Mar-2021 2036 hrs,Cutting Plier,Rolling Shutter,,Shop,Targeted,Two-Three,None,Pre-Surveyed,Electronics,Car/Jeep,Car/Jeep,,,,,,,,,,"It is alleged that between 10-Mar-2021 1218 hrs and 10-Mar-2021 2036 hrs unknown accused committed break-in at commercial premises within Belagavi. It is stated that the accused made no attempt to avoid identification, got in by lifting the shutter, came in a four-wheeler, targeted a shop, appear to have watched the place beforehand, fled in a four-wheeler, used a cutter, cut the grill, were two or three persons, struck during the day and went straight to where the valuables were kept. The beat constable had passed the area about an hour earlier. The complainant noticed the incident on returning and informed the police."
KA-DHA-05/0006/2021,19-Mar-2021 2237 hrs,Dharwad,KA-DHA-05,Theft - Chain Snatching,16-Mar-2021,16-Mar-2021,None Observed,,,,,Single,Gloves Worn,Random,Gold Jewellery / Electronics,Bike,Bike,,,,Motorcycle,Walking On Road,Cross Roads,,,,"It is alleged that between 16-Mar-2021 and 16-Mar-2021 unknown accused committed chain snatching within Dharwad. It is stated that the accused fled on a two-wheeler, took gold ornaments, took electronic items, came on a two-wheeler, left no sign of tools, appear to have picked the target by chance, rode a motorcycle, wore gloves, acted alone and escaped through the lanes. The total value of the stolen property is estimated at Rs. 466,948. Street lights in the area were reported not working."
KA-BEN-02/0007/2021,20-Mar-2021 0320 hrs,Bengaluru Urban,KA-BEN-02,Theft - Vehicle,19-Mar-2021,19-Mar-2021,None Observed,,,,,Single,None,Random,Vehicle,Bike,Bike,Motorcycle,Handle Lock Broken,Residence Parking,,,,,,,"The complainant lodged a complaint at KA-BEN-02 regarding vehicle theft between 19-Mar-2021 and 19-Mar-2021. It is stated that the accused came on a two-wheeler, left no sign of tools, acted alone, appear to have picked the target by chance, made no attempt to avoid identification and took it from residential parking. A spot panchnama was drawn up in the presence of witnesses."
KA-MYS-02/0012/2021,20-Mar-2021 0434 hrs,Mysuru,KA-MYS-02,Theft - Chain Snatching,19-Mar-2021 2146 hrs,19-Mar-2021 2151 hrs,,,,,,Two-Three,None,Random,Gold Jewellery / Electronics,Bike,Bike,,,,Motorcycle,Pillion Riding,,,,,"The complainant lodged a complaint at KA-MYS-02 regarding chain snatching between 19-Mar-2021 2146 hrs and 19-Mar-2021 2151 hrs. It is stated that the accused left no sign of tools, took gold ornaments, took electronic items, targeted a victim riding pillion, rode a motorcycle, appear to have picked the target by chance, were two or three persons, came on a two-wheeler and fled on a two-wheeler. The total value of the stolen property is estimated at Rs. 375,704. Nearby shops were closed at the time."
KA-BEN-01/0013/2021,20-Mar-2021 0857 hrs,Bengaluru Urban,KA-BEN-01,Theft - Vehicle,18-Mar-2021,20-Mar-2021,None Observed,,,,,Single,None,Random,,Bike,Bike,Scooter,Wire Bypass,Market,,,,,,,"Brief facts: the complainant states that on or between 18-Mar-2021 and 20-Mar-2021 a vehicle theft was committed in Bengaluru Urban limits. It is stated that the accused left no sign of tools, stole a scooter, started it by joining the wires, appear to have picked the target by chance, made no attempt to avoid identification, acted alone, took it from a market area, came on a two-wheeler and fled on a two-wheeler. The complainant has submitted bills for some of the items. Street lights in the area were reported not working."
KA-BEN-05/0018/2021,21-Mar-2021 0013 hrs,Bengaluru Urban,KA-BEN-05,Theft - Vehicle,17-Mar-2021,18-Mar-2021,,,,,,Two-Three,None,Random,,Walking,Car/Jeep,Car,Key Left In Vehicle,Road Side,,,,,,,"The complainant lodged a complaint at KA-BEN-05 regarding vehicle theft between 17-Mar-2021 and 18-Mar-2021. It is stated that the accused made no attempt to avoid identification, appear to have picked the target by chance, found the key left in the vehicle, stole a car, were two or three persons, took it from the roadside and fled in a four-wheeler. The complainant does not suspect anyone. The dog squad was summoned to the spot."
KA-BEN-05/0019/2021,21-Mar-2021 0202 hrs,Bengaluru Urban,KA-BEN-05,Theft - Vehicle,19-Mar-2021 1119 hrs,19-Mar-2021 2235 hrs,None Observed,,,,,Two-Three,None,Random,Documents / Vehicle,Walking,Bike,Scooter,Master Key,,,,,,,,"It is alleged that between 19-Mar-2021 1119 hrs and 19-Mar-2021 2235 hrs unknown accused committed vehicle theft within Bengaluru Urban. It is stated that the accused left no sign of tools, struck during the day, made no attempt to avoid identification, were two or three persons, took documents, took a vehicle, appear to have picked the target by chance, fled on a two-wheeler, stole a scooter and started it with a duplicate key. A relative of the complainant was the first to notice. The total value of the stolen property is estimated at Rs. 107,699."
KA-BEL-03/0011/2021,21-Mar-2021 1628 hrs,Belagavi,KA-BEL-03,Burglary - Dwelling,18-Mar-2021 0252 hrs,21-Mar-2021 0908 hrs,Iron Rod / Screwdriver,Door,Forced - grill cut,Row House,Ransacked,Two-Three,Gloves Worn,Random,Cash,Walking,Car/Jeep,,,,,,,,,,"It is alleged that between 18-Mar-2021 0252 hrs and 21-Mar-2021 0908 hrs unknown accused committed house burglary within Belagavi. It is stated that the accused fled in a four-wheeler, ransacked the place, appear to have picked the target by chance, wore gloves, came on foot, targeted a row house, used a crowbar, used a screwdriver, were two or three persons and took cash. The total value of the stolen property is estimated at Rs. 360,187. A relative of the complainant was the first to notice."
KA-BEN-05/0020/2021,22-Mar-2021 0204 hrs,Bengaluru Urban,KA-BEN-05,Burglary - Commercial,20-Mar-2021 1302 hrs,21-Mar-2021 1119 hrs,,Door,,,,Two-Three,None,Pre-Surveyed,Cash,Car/Jeep,Car/Jeep,,,,,,,,,,"It is alleged that between 20-Mar-2021 1302 hrs and 21-Mar-2021 1119 hrs unknown accused committed break-in at commercial premises within Bengaluru Urban. It is stated that the accused made no attempt to avoid identification, came in a four-wheeler, fled in a four-wheeler, took cash, appear to have watched the place beforehand and were two or three persons. The complainant noticed the incident on returning and informed the police. Neighbours stated they did not hear anything unusual."
KA-BEL-04/0011/2021,22-Mar-2021 0340 hrs,Belagavi,KA-BEL-04,Burglary - Dwelling,19-Mar-2021 2213 hrs,20-Mar-2021 0350 hrs,,Window,Unforced,Apartment,Targeted,Gang (4+),,Random,Gold Jewellery / Cash,Car/Jeep,Car/Jeep,,,,,,,,,,"It is alleged that between 19-Mar-2021 2213 hrs and 20-Mar-2021 0350 hrs unknown accused committed house burglary within Belagavi. It is stated that the accused made no attempt to avoid identification, entered without force, fled in a four-wheeler, used a screwdriver, came in a four-wheeler, targeted an apartment, appear to have picked the target by chance, went straight to where the valuables were kept, were a group of four or more, got in through a window, took gold ornaments and took cash. The complainant does not suspect anyone. The total value of the stolen property is estimated at Rs. 390,880."
KA-BEL-05/0017/2021,22-Mar-2021 1223 hrs,Belagavi,KA-BEL-05,Burglary - Dwelling,21-Mar-2021 0251 hrs,21-Mar-2021 0526 hrs,Iron Rod,Wall Breached,Forced - grill cut,Apartment,Ransacked,,None,Random,Documents,Walking,Walking,,,,,,,,,,"The complainant lodged a complaint at KA-BEL-05 regarding house burglary between 21-Mar-2021 0251 hrs and 21-Mar-2021 0526 hrs. It is stated that the accused fled on foot, came on foot, took documents, used a crowbar, made a hole in the wall, cut the grill, ransacked the place, appear to have picked the target by chance and made no attempt to avoid identification. The beat constable had passed the area about an hour earlier. The complainant has submitted bills for some of the items."
KA-MYS-06/0011/2021,22-Mar-2021 1505 hrs,Mysuru,KA-MYS-06,Theft - Chain Snatching,22-Mar-2021 0655 hrs,22-Mar-2021 0659 hrs,None Observed,,,,,,,Random,,Walking,,,,,No Vehicle,Walking On Road,,,,,"The complainant lodged a complaint at KA-MYS-06 regarding chain snatching between 22-Mar-2021 0655 hrs and 22-Mar-2021 0659 hrs. It is stated that the accused used no vehicle, targeted a victim who was walking and came on foot. The dog squad was summoned to the spot. Neighbours stated they did not hear anything unusual."
KA-KAL-02/0012/2021,22-Mar-2021 1525 hrs,Kalaburagi,KA-KAL-02,Burglary - Dwelling,21-Mar-2021 1633 hrs,21-Mar-2021 1953 hrs,Screwdriver,Window,Forced - lock,,Selective Search,Single,None,Random,Gold Jewellery,Car/Jeep,Car/Jeep,,,,,,,,,,"Brief facts: the complainant states that on or between 21-Mar-2021 1633 hrs and 21-Mar-2021 1953 hrs a house burglary was committed in Kalaburagi limits. It is stated that the accused broke the lock, struck while the occupants were inside, got in through a window, struck during the day, used a screwdriver, fled in a four-wheeler, made no attempt to avoid identification, appear to have picked the target by chance, came in a four-wheeler, acted alone, took gold ornaments and took only selected valuables. The dog squad was summoned to the spot. The beat constable had passed the area about an hour earlier."
KA-BEN-07/0012/2021,22-Mar-2021 1720 hrs,Bengaluru Urban,KA-BEN-07,Theft - Vehicle,20-Mar-2021 0728 hrs,21-Mar-2021 0224 hrs,None Observed,,,,,Two-Three,None,,Vehicle,Walking,Car/Jeep,Goods Vehicle,Handle Lock Broken,Road Side,,,,,,,"The complainant lodged a complaint at KA-BEN-07 regarding vehicle theft between 20-Mar-2021 0728 hrs and 21-Mar-2021 0224 hrs. It is stated that the accused fled in a four-wheeler, made no attempt to avoid identification, took it from the roadside, appear to have watched the place beforehand, stole a goods vehicle, left no sign of tools, came on foot, took a vehicle and were two or three persons. The dog squad was summoned to the spot. The beat constable had passed the area about an hour earlier."
KA-DHA-06/0012/2021,22-Mar-2021 2037 hrs,Dharwad,KA-DHA-06,Burglary - Commercial,21-Mar-2021 2137 hrs,22-Mar-2021 0835 hrs,None Observed,Rolling Shutter,Forced - door,Office,Selective Search,Single,Gloves Worn,Random,Cash / Electronics,Car/Jeep,Car/Jeep,,,,,,,,,,"The complainant lodged a complaint at KA-DHA-06 regarding break-in at commercial premises between 21-Mar-2021 2137 hrs and 22-Mar-2021 0835 hrs. It is stated that the accused struck at night, left no sign of tools, wore gloves, struck while the premises were closed for the night, appear to have picked the target by chance, took only selected valuables, took cash, took electronic items, fled in a four-wheeler, got in by lifting the shutter, targeted an office, forced the door open and acted alone. Nearby shops were closed at the time. A relative of the complainant was the first to notice."
KA-BEL-04/0012/2021,22-Mar-2021 2306 hrs,Belagavi,KA-BEL-04,Burglary - Dwelling,22-Mar-2021 0225 hrs,22-Mar-2021 0353 hrs,Cutting Plier,Door,Forced - door,Mixed Use,Selective Search,Single,None,Pre-Surveyed,Gold Jewellery / Cash,Bike,,,,,,,,,,,"The complainant lodged a complaint at KA-BEL-04 regarding house burglary between 22-Mar-2021 0225 hrs and 22-Mar-2021 0353 hrs. It is stated that the accused took only selected valuables, got in through the door, acted alone, came on a two-wheeler, targeted a shop-cum-residence, appear to have watched the place beforehand, used a cutter, struck at night, took gold ornaments, took cash, made no attempt to avoid identification and forced the door open. The complainant does not suspect anyone. Street lights in the area were reported not working."
KA-BEN-01/0014/2021,23-Mar-2021 0300 hrs,Bengaluru Urban,KA-BEN-01,Burglary - Commercial,21-Mar-2021 2318 hrs,22-Mar-2021 1348 hrs,,Rolling Shutter,Forced - grill cut,Shop,Selective Search,Two-Three,,,Cash,Walking,Walking,,,,,,,,,,"The complainant lodged a complaint at KA-BEN-01 regarding break-in at commercial premises between 21-Mar-2021 2318 hrs and 22-Mar-2021 1348 hrs. It is stated that the accused came on foot, targeted a shop, got in by lifting the shutter, cut the grill, were two or three persons and took only selected valuables. The complainant has submitted bills for some of the items. Enquiries with nearby residents are in progress."
KA-BEL-05/0018/2021,23-Mar-2021 1620 hrs,Belagavi,KA-BEL-05,Burglary - Commercial,21-Mar-2021 2113 hrs,22-Mar-2021 0731 hrs,Iron Rod,Rolling Shutter,Forced - lock,Shop,Selective Search,Gang (4+),None,Pre-Surveyed,,Car/Jeep,Car/Jeep,,,,,,,,,,"The complainant lodged a complaint at KA-BEL-05 regarding break-in at commercial premises between 21-Mar-2021 2113 hrs and 22-Mar-2021 0731 hrs. It is stated that the accused struck at night, were a group of four or more, took only selected valuables, made no attempt to avoid identification, broke the lock, appear to have watched the place beforehand, targeted a shop, got in by lifting the shutter and came in a four-wheeler. The complainant noticed the incident on returning and informed the police. The beat constable had passed the area about an hour earlier."
KA-KAL-04/0012/2021,23-Mar-2021 1810 hrs,Kalaburagi,KA-KAL-04,Theft - Vehicle,23-Mar-2021,23-Mar-2021,None Observed,,,,,Two-Three,None,Random,Vehicle,Bike,Bike,,Handle Lock Broken,Residence Parking,,,,,,,"It is alleged that between 23-Mar-2021 and 23-Mar-2021 unknown accused committed vehicle theft within Kalaburagi. It is stated that the accused stole a motorcycle, came on a two-wheeler, took a vehicle, fled on a two-wheeler, left no sign of tools, made no attempt to avoid identification, were two or three persons, appear to have picked the target by chance, broke the handle lock and took it from residential parking. The beat constable had passed the area about an hour earlier. The complainant has submitted bills for some of the items."
KA-KAL-06/0010/2021,23-Mar-2021 1854 hrs,Kalaburagi,KA-KAL-06,Theft - Vehicle,21-Mar-2021 1315 hrs,21-Mar-2021 1734 hrs,Screwdriver,,,,,Single,,Random,Vehicle,Walking,Bike,Motorcycle,Wire Bypass,Road Side,,,,,,,"It is alleged that between 21-Mar-2021 1315 hrs and 21-Mar-2021 1734 hrs unknown accused committed vehicle theft within Kalaburagi. It is stated that the accused used a screwdriver, struck during the day, took it from the roadside, appear to have picked the target by chance, acted alone, took a vehicle, stole a motorcycle, fled on a two-wheeler and came on foot. Nearby shops were closed at the time. It had been raining heavily that evening."
KA-MYS-04/0010/2021,24-Mar-2021 0104 hrs,Mysuru,KA-MYS-04,Burglary - Commercial,20-Mar-2021,22-Mar-2021,Iron Rod,Door,Forced - door,Shop,Selective Search,Gang (4+),None,Pre-Surveyed,Cash / Electronics,Car/Jeep,Car/Jeep,,,,,,,,,,"The complainant lodged a complaint at KA-MYS-04 regarding break-in at commercial premises between 20-Mar-2021 and 22-Mar-2021. It is stated that the accused were a group of four or more, made no attempt to avoid identification, fled in a four-wheeler, came in a four-wheeler, took cash, took electronic items, got in through the door, took only selected valuables, used a crowbar, targeted a shop and forced the door open. The total value of the stolen property is estimated at Rs. 351,501. The complainant does not suspect anyone."
KA-MYS-06/0012/2021,24-Mar-2021 0415 hrs,Mysuru,KA-MYS-06,Theft - Chain Snatching,23-Mar-2021 2055 hrs,23-Mar-2021 2101 hrs,None Observed,,,,,,Face Covered,Random,Nothing Lost,Walking,Bike,,,,,Walking On Road,,,,,"The complainant lodged a complaint at KA-MYS-06 regarding chain snatching between 23-Mar-2021 2055 hrs and 23-Mar-2021 2101 hrs. It is stated that the accused fled on a two-wheeler, targeted a victim who was walking, appear to have picked the target by chance, escaped through the lanes, took nothing, left no sign of tools and struck during the day. It had been raining heavily that evening. Neighbours stated they did not hear anything unusual."
KA-BEN-01/0015/2021,24-Mar-2021 0959 hrs,Bengaluru Urban,KA-BEN-01,Theft - Vehicle,22-Mar-2021,22-Mar-2021,None Observed,,,,,Gang (4+),,Random,Cash / Vehicle,Bike,Bike,Motorcycle,Lifted/Towed,Road Side,,,,,,,"Brief facts: the complainant states that on or between 22-Mar-2021 and 22-Mar-2021 a vehicle theft was committed in Bengaluru Urban limits. It is stated that the accused lifted or towed it away, fled on a two-wheeler, appear to have picked the target by chance, took cash, took a vehicle, took it from the roadside, stole a motorcycle and came on a two-wheeler. The complainant has submitted bills for some of the items. Enquiries with nearby residents are in progress."
KA-MYS-04/0011/2021,24-Mar-2021 1228 hrs,Mysuru,KA-MYS-04,Theft - Vehicle,21-Mar-2021 2035 hrs,22-Mar-2021 0415 hrs,,,,,,Single,None,Pre-Surveyed,Vehicle,Bike,Bike,Scooter,,Road Side,,,,,,,"The complainant lodged a complaint at KA-MYS-04 regarding vehicle theft between 21-Mar-2021 2035 hrs and 22-Mar-2021 0415 hrs. It is stated that the accused took it from the roadside, struck at night, used a screwdriver, made no attempt to avoid identification, fled on a two-wheeler, acted alone, stole a scooter, came on a two-wheeler and appear to have watched the place beforehand. The total value of the stolen property is estimated at Rs. 478,114. The dog squad was summoned to the spot."
KA-BEN-07/0013/2021,24-Mar-2021 1541 hrs,Bengaluru Urban,KA-BEN-07,Burglary - Dwelling,21-Mar-2021 0445 hrs,24-Mar-2021 1146 hrs,,Window,Forced - grill cut,Apartment,Selective Search,Two-Three,,Pre-Surveyed,Nothing Lost,Walking,Walking,,,,,,,,,,"Brief facts: the complainant states that on or between 21-Mar-2021 0445 hrs and 24-Mar-2021 1146 hrs a house burglary was committed in Bengaluru Urban limits. It is stated that the accused fled on foot, were two or three persons, targeted an apartment, got in through a window, came on foot and took only selected valuables. Fingerprint experts visited the scene. Enquiries with nearby residents are in progress."
KA-DHA-02/0010/2021,25-Mar-2021 0827 hrs,Dharwad,KA-DHA-02,Cheating - ATM,21-Mar-2021 2315 hrs,22-Mar-2021 2358 hrs,,,,,,Two-Three,None,Pre-Surveyed,Cash,Car/Jeep,Car/Jeep,,,,,,,Offsite,,Disabled,"The complainant lodged a complaint at KA-DHA-02 regarding ATM tampering between 21-Mar-2021 2315 hrs and 22-Mar-2021 2358 hrs. It is stated that the accused came in a four-wheeler, made no attempt to avoid identification, targeted an offsite ATM kiosk, took cash, fled in a four-wheeler, appear to have watched the place beforehand, disabled the alarm and were two or three persons. Nearby shops were closed at the time. Street lights in the area were reported not working."
KA-MYS-01/0013/2021,25-Mar-2021 0830 hrs,Mysuru,KA-MYS-01,Theft - Chain Snatching,20-Mar-2021,20-Mar-2021,None Observed,,,,,Gang (4+),Face Covered,Random,,Bike,Bike,,,,Motorcycle,Pillion Riding,Main Road,,,,"The complainant lodged a complaint at KA-MYS-01 regarding chain snatching between 20-Mar-2021 and 20-Mar-2021. It is stated that the accused were a group of four or more, left no sign of tools, had their faces covered, appear to have picked the target by chance and escaped along the main road. Enquiries with nearby residents are in progress. The complainant does not suspect anyone."
KA-KAL-04/0013/2021,25-Mar-2021 1951 hrs,Kalaburagi,KA-KAL-04,Burglary - Commercial,24-Mar-2021 2344 hrs,25-Mar-2021 0818 hrs,Iron Rod / Gas Welding Set,Rolling Shutter,Forced - lock,Shop,Ransacked,Two-Three,None,Insider Tip,Cash / Electronics,Bike,Walking,,,,,,,,,,"Brief facts: the complainant states that on or between 24-Mar-2021 2344 hrs and 25-Mar-2021 0818 hrs a break-in at commercial premises was committed in Kalaburagi limits. It is stated that the accused targeted a shop, made no attempt to avoid identification, took cash, took electronic items, broke the lock, appear to have had inside information, used a crowbar, used a gas cutter, were two or three persons, got in by lifting the shutter, ransacked the place, fled on foot, came on a two-wheeler and struck early in the morning. The complainant does not suspect anyone. It had been raining heavily that evening."
KA-DHA-07/0013/2021,25-Mar-2021 2331 hrs,Dharwad,KA-DHA-07,Burglary - Dwelling,18-Mar-2021,25-Mar-2021,,Door,Forced - lock,Independent House,Selective Search,Single,None,Pre-Surveyed,Gold Jewellery / Cash / Electronics,Walking,Bike,,,,,,,,,,"It is alleged that between 18-Mar-2021 and 25-Mar-2021 unknown accused committed house burglary within Dharwad. It is stated that the accused got in through the door, took only selected valuables, took gold ornaments, took cash, took electronic items, broke the lock, appear to have watched the place beforehand, made no attempt to avoid identification, fled on a two-wheeler, targeted an independent house and came on foot. Fingerprint experts visited the scene. The dog squad was summoned to the spot."
KA-BEL-01/0005/2021,26-Mar-2021 0128 hrs,Belagavi,KA-BEL-01,Burglary - Commercial,24-Mar-2021 2049 hrs,25-Mar-2021 0859 hrs,Cutting Plier / Screwdriver / Gas Welding Set,Door,,Shop,Selective Search,,,Pre-Surveyed,Cash,Walking,,,,,,,,,,,"It is alleged that between 24-Mar-2021 2049 hrs and 25-Mar-2021 0859 hrs unknown accused committed break-in at commercial premises within Belagavi. It is stated that the accused used a cutter, used a screwdriver, used a gas cutter, came on foot, took only selected valuables, got in through the door, broke the lock and appear to have watched the place beforehand. A relative of the complainant was the first to notice. A spot panchnama was drawn up in the presence of witnesses."
KA-BEN-05/0021/2021,26-Mar-2021 0306 hrs,Bengaluru Urban,KA-BEN-05,Burglary - Dwelling,22-Mar-2021 1217 hrs,23-Mar-2021 0122 hrs,None Observed,Terrace,Forced - grill cut,Apartment,Ransacked,Single,None,Pre-Surveyed,Nothing Lost,Walking,,,,,,,,,,,"It is alleged that between 22-Mar-2021 1217 hrs and 23-Mar-2021 0122 hrs unknown accused committed house burglary within Bengaluru Urban. It is stated that the accused got in through the roof, took nothing, fled on foot, ransacked the place, left no sign of tools, came on foot, appear to have watched the place beforehand and made no attempt to avoid identification. The total value of the stolen property is estimated at Rs. 345,339. The dog squad was summoned to the spot."
KA-KAL-02/0013/2021,26-Mar-2021 0721 hrs,Kalaburagi,KA-KAL-02,Theft - Chain Snatching,26-Mar-2021,26-Mar-2021,None Observed,,,,,Two-Three,Face Covered,Random,Gold Jewellery / Electronics,Bike,Bike,,,,Motorcycle,Walking On Road,Main Road,,,,"The complainant lodged a complaint at KA-KAL-02 regarding chain snatching between 26-Mar-2021 and 26-Mar-2021. It is stated that the accused took gold ornaments, took electronic items, fled on a two-wheeler, left no sign of tools, targeted a victim who was walking, rode a motorcycle, had their faces covered, escaped along the main road and were two or three persons. A relative of the complainant was the first to notice. The total value of the stolen property is estimated at Rs. 460,587."
KA-BEL-06/0011/2021,26-Mar-2021 0907 hrs,Belagavi,KA-BEL-06,Theft - Chain Snatching,25-Mar-2021,25-Mar-2021,None Observed,,,,,Single,,Random,,Bike,Bike,,,,,Morning Walk,Highway,,,,"Brief facts: the complainant states that on or between 25-Mar-2021 and 25-Mar-2021 a chain snatching was committed in Belagavi limits. It is stated that the accused came on a two-wheeler, appear to have picked the target by chance, left no sign of tools, fled on a two-wheeler, acted alone and struck during the day. It had been raining heavily that evening. The total value of the stolen property is estimated at Rs. 390,853."
KA-DHA-05/0007/2021,26-Mar-2021 1151 hrs,Dharwad,KA-DHA-05,Theft - Vehicle,25-Mar-2021 2304 hrs,26-Mar-2021 0231 hrs,Screwdriver,,,,,Two-Three,Face Covered,Random,Cash / Vehicle,Bike,Bike,Motorcycle,Master Key,Residence Parking,,,,,,,"It is alleged that between 25-Mar-2021 2304 hrs and 26-Mar-2021 0231 hrs unknown accused committed vehicle theft within Dharwad. It is stated that the accused had their faces covered, stole a motorcycle, took cash, took a vehicle, came on a two-wheeler, used a screwdriver, were two or three persons, started it with a duplicate key, struck at night, appear to have picked the target by chance, took it from residential parking and fled on a two-wheeler. The total value of the stolen property is estimated at Rs. 261,697. The complainant has submitted bills for some of the items."
KA-KAL-01/0015/2021,26-Mar-2021 1832 hrs,Kalaburagi,KA-KAL-01,Theft - Vehicle,25-Mar-2021 2354 hrs,26-Mar-2021 0735 hrs,None Observed,,,,,Single,None,Random,Documents / Vehicle,,Bike,Motorcycle,Handle Lock Broken,Residence Parking,,,,,,,"Brief facts: the complainant states that on or between 25-Mar-2021 2354 hrs and 26-Mar-2021 0735 hrs a vehicle theft was committed in Kalaburagi limits. It is stated that the accused took documents, took a vehicle, fled on a two-wheeler, took it from residential parking, appear to have picked the target by chance, made no attempt to avoid identification, struck at night, left no sign of tools, acted alone and broke the handle lock. The total value of the stolen property is estimated at Rs. 101,721. The complainant noticed the incident on returning and informed the police."
KA-BEN-04/0008/2021,26-Mar-2021 1833 hrs,Bengaluru Urban,KA-BEN-04,Theft - Vehicle,25-Mar-2021 1501 hrs,25-Mar-2021 2202 hrs,None Observed,,,,,Single,CCTV Tampered,Random,Vehicle,Walking,Bike,Motorcycle,Key Left In Vehicle,Residence Parking,,,,,,,"Brief facts: the complainant states that on or between 25-Mar-2021 1501 hrs and 25-Mar-2021 2202 hrs a vehicle theft was committed in Bengaluru Urban limits. It is stated that the accused came on foot, fled on a two-wheeler, struck during the day, disabled the CCTV camera, stole a motorcycle, found the key left in the vehicle, appear to have picked the target by chance, left no sign of tools, took a vehicle and acted alone. A spot panchnama was drawn up in the presence of witnesses. Nearby shops were closed at the time."
KA-BEN-04/0009/2021,27-Mar-2021 1524 hrs,Bengaluru Urban,KA-BEN-04,Theft - Vehicle,26-Mar-2021 2148 hrs,27-Mar-2021 0740 hrs,None Observed,,,,,Single,None,Random,,Walking,Bike,Scooter,Wire Bypass,Road Side,,,,,,,"It is alleged that between 26-Mar-2021 2148 hrs and 27-Mar-2021 0740 hrs unknown accused committed vehicle theft within Bengaluru Urban. It is stated that the accused acted alone, struck at night, came on foot, appear to have picked the target by chance, left no sign of tools, made no attempt to avoid identification, stole a scooter, fled on a two-wheeler and took it from the roadside. The complainant has submitted bills for some of the items. Enquiries with nearby residents are in progress."
KA-DHA-02/0011/2021,27-Mar-2021 1545 hrs,Dharwad,KA-DHA-02,Burglary - Dwelling,26-Mar-2021 2318 hrs,27-Mar-2021 0904 hrs,None Observed,,Forced - lock,Independent House,,Single,None,Random,Gold Jewellery,,Bike,,,,,,,,,,"The complainant lodged a complaint at KA-DHA-02 regarding house burglary between 26-Mar-2021 2318 hrs and 27-Mar-2021 0904 hrs. It is stated that the accused got in through a window, targeted an independent house, acted alone, struck while the occupants were out, appear to have picked the target by chance, fled on a two-wheeler, left no sign of tools, struck early in the morning, took gold ornaments and broke the lock. Nearby shops were closed at the time. The complainant has submitted bills for some of the items."
