THANA,ZILA,APRADH_KRAMANK,DARJ_DINANK,APRADH_SHIRSH,GHATNA_DINANK_SE,GHATNA_DINANK_TAK,GHATNA_VIVARAN,PRAVESH_STHAN,PRAVESH_VIDHI,PARISAR,MAKAN_STHITI,TALASHI_PRAKAR,AAROPI_SANKHYA,UPKARAN,PEHCHAN_CHHIPANA,LAKSHYA_CHAYAN,CHORI_SAMPATTI,AAGAMAN_SADHAN,PALAYAN_SADHAN,VAHAN_SHRENI,VAHAN_CHALU_VIDHI,VAHAN_STHAN,AAROPI_VAHAN,PEEDIT_GATIVIDHI,PALAYAN_DISHA,ATM_STHAN,ATM_CHHEDCHHAD,ALARM_STHITI
MP-IND-03,Indore,MP-IND-03/0003/2022,13-01-2022 04:47 PM,CHAIN_JHAPATNA,12-01-2022,12-01-2022,"The informant reported a chain snatching in the jurisdiction of MP-IND-03 between 12-01-2022 and 12-01-2022. It is stated that the accused had their faces covered, fled on foot, were two or three persons, left no sign of tools and escaped through the lanes. A spot panchnama was drawn up in the presence of witnesses. The complainant does not suspect anyone.",,,,,,DO_TEEN,KOI_NAHI,MUNH_DHAKA,,KUCHH_NAHI,DO_PAHIYA,PAIDAL,,,,MOTORCYCLE,SUBAH_TEHALNA,GALIYON_SE,,,
MP-IND-04,Indore,MP-IND-04/0004/2022,13-01-2022 07:46 PM,DUKAN_BHEDAN,12-01-2022 07:13 PM,13-01-2022 10:47 AM,"The informant reported a break-in at commercial premises in the jurisdiction of MP-IND-04 between 12-01-2022 07:13 PM and 13-01-2022 10:47 AM. It is stated that the accused appear to have had inside information, broke the lock, ransacked the place, targeted an office, got in by lifting the shutter and came on foot. The beat constable had passed the area about an hour earlier. The total value of the stolen property is estimated at Rs. 84,241.",,TALA_TODA,KARYALAYA,RAAT_ME_BAND,SAB_BIKHRA,,SABBAL,KOI_NAHI,BHEDI_SOOCHNA,,PAIDAL,,,,,,,,,,
MP-IND-02,Indore,MP-IND-02/0001/2022,13-01-2022 09:28 PM,VAHAN_CHORI,12-01-2022 08:12 AM,13-01-2022 07:49 AM,"The informant reported a vehicle theft in the jurisdiction of MP-IND-02 between 12-01-2022 08:12 AM and 13-01-2022 07:49 AM. It is stated that the accused appear to have picked the target by chance, took a vehicle, fled in a four-wheeler, left no sign of tools, stole a goods vehicle and came on foot. A spot panchnama was drawn up in the presence of witnesses. Enquiries with nearby residents are in progress.",,,,,,DO_TEEN,KOI_NAHI,,,,PAIDAL,CHAR_PAHIYA,MAAL_VAHAN,TAAR_JODKAR,,,,,,,
MP-BHO-05,Bhopal,MP-BHO-05/0003/2022,14-01-2022 03:25 AM,GRIH_BHEDAN,12-01-2022 01:18 AM,12-01-2022 07:19 PM,"Report received at MP-BHO-05, Bhopal: house burglary between 12-01-2022 01:18 AM and 12-01-2022 07:19 PM. It is stated that the accused fled in a four-wheeler, struck while the occupants were out, took cash, took electronic items, climbed in via the balcony, used a cutter, used a screwdriver and had their faces covered. Enquiries with nearby residents are in progress. The dog squad was summoned to the spot.",BALCONY,TALA_TODA,SWATANTRA_MAKAN,THODI_DER_BAHAR,SAB_BIKHRA,,KATAR|PECHKAS,MUNH_DHAKA,,NAKAD|ELECTRONIC_SAMAN,CHAR_PAHIYA,CHAR_PAHIYA,,,,,,,,,
MP-BHO-06,Bhopal,MP-BHO-06/0003/2022,14-01-2022 04:17 AM,GRIH_BHEDAN,13-01-2022,13-01-2022,"Complainant appeared at MP-BHO-06 and stated that a house burglary happened between 13-01-2022 and 13-01-2022 in Bhopal. It is stated that the accused got in through the door, made no attempt to avoid identification, cut the grill, took cash, targeted an independent house, used a screwdriver, ransacked the place and came in a four-wheeler. The complainant does not suspect anyone. The complainant has submitted bills for some of the items.",DARWAZA,GRILL_KATI,SWATANTRA_MAKAN,THODI_DER_BAHAR,SAB_BIKHRA,DO_TEEN,PECHKAS,KOI_NAHI,,NAKAD,CHAR_PAHIYA,,,,,,,,,,
MP-JAB-02,Jabalpur,MP-JAB-02/0004/2022,14-01-2022 06:05 AM,GRIH_BHEDAN,18-11-2021 11:08 AM,11-01-2022 06:34 PM,"The informant reported a house burglary in the jurisdiction of MP-JAB-02 between 18-11-2021 11:08 AM and 11-01-2022 06:34 PM. It is stated that the accused came in a four-wheeler, used a screwdriver, took gold ornaments, broke the lock, made no attempt to avoid identification, got in through the door, targeted a row house, struck while the house was locked for days and appear to have watched the place beforehand. The complainant noticed the incident on returning and informed the police.",DARWAZA,TALA_TODA,KATAR_MAKAN,BAHARGAON_GAYE,SAB_BIKHRA,DO_TEEN,PECHKAS,KOI_NAHI,REKI_KI,SONE_KE_GAHNE,CHAR_PAHIYA,,,,,,,,,,
MP-BHO-02,Bhopal,MP-BHO-02/0002/2022,14-01-2022 08:06 AM,DUKAN_BHEDAN,10-01-2022 03:47 AM,13-01-2022 08:20 PM,"Report received at MP-BHO-02, Bhopal: break-in at commercial premises between 10-01-2022 03:47 AM and 13-01-2022 08:20 PM. It is stated that the accused went straight to where the valuables were kept, took nothing, opened it with a duplicate key, came in a four-wheeler and appear to have had inside information. A spot panchnama was drawn up in the presence of witnesses. The complainant has submitted bills for some of the items.",,NAKLI_CHABI,GODAM,CHHUTTI_ME_BAND,SEEDHE_TIJORI,DO_TEEN,,,BHEDI_SOOCHNA,KUCHH_NAHI,CHAR_PAHIYA,,,,,,,,,,
MP-BHO-05,Bhopal,MP-BHO-05/0004/2022,14-01-2022 10:44 AM,CHAIN_JHAPATNA,13-01-2022,13-01-2022,"Report received at MP-BHO-05, Bhopal: chain snatching between 13-01-2022 and 13-01-2022. It is stated that the accused took gold ornaments, took cash, left no sign of tools, rode a motorcycle, fled on a two-wheeler, targeted a victim who was walking and acted alone. It had been raining heavily that evening. Neighbours stated they did not hear anything unusual.",,,,,,EK,KOI_NAHI,MUNH_DHAKA,AKASMIK,SONE_KE_GAHNE|NAKAD,,DO_PAHIYA,,,,MOTORCYCLE,PAIDAL_JA_RAHI,GALIYON_SE,,,
MP-GWA-02,Gwalior,MP-GWA-02/0006/2022,14-01-2022 10:55 AM,VAHAN_CHORI,14-01-2022 02:16 AM,14-01-2022 04:19 AM,"Report received at MP-GWA-02, Gwalior: vehicle theft between 14-01-2022 02:16 AM and 14-01-2022 04:19 AM. It is stated that the accused struck at night, left no sign of tools, made no attempt to avoid identification, fled on a two-wheeler and came on foot. It had been raining heavily that evening. The beat constable had passed the area about an hour earlier.",,,,,,,KOI_NAHI,KOI_NAHI,AKASMIK,VAHAN,PAIDAL,DO_PAHIYA,SCOOTY,HANDLE_LOCK_TODA,,,,,,,
MP-JAB-01,Jabalpur,MP-JAB-01/0004/2022,14-01-2022 11:47 AM,VAHAN_CHORI,13-01-2022 01:52 AM,14-01-2022 09:05 AM,The informant reported a vehicle theft in the jurisdiction of MP-JAB-01 between 13-01-2022 01:52 AM and 14-01-2022 09:05 AM. It is stated that the accused started it by joining the wires and left no sign of tools. Street lights in the area were reported not working. Fingerprint experts visited the scene.,,,,,,,,KOI_NAHI,,VAHAN,PAIDAL,,MOTORCYCLE,TAAR_JODKAR,GHAR_KE_BAHAR,,,,,,
MP-BHO-06,Bhopal,MP-BHO-06/0004/2022,14-01-2022 01:54 PM,DUKAN_BHEDAN,11-01-2022,12-01-2022,"The informant reported a break-in at commercial premises in the jurisdiction of MP-BHO-06 between 11-01-2022 and 12-01-2022. It is stated that the accused broke the lock, fled on foot, used a cutter, targeted a shop, were two or three persons, struck while the premises were closed for a holiday, made a hole in the wall and struck early in the morning. Street lights in the area were reported not working. The complainant noticed the incident on returning and informed the police.",,TALA_TODA,DUKAN,CHHUTTI_ME_BAND,SEEDHE_TIJORI,DO_TEEN,KATAR,MUNH_DHAKA,,ELECTRONIC_SAMAN,,PAIDAL,,,,,,,,,
MP-IND-03,Indore,MP-IND-03/0004/2022,14-01-2022 03:26 PM,DUKAN_BHEDAN,13-01-2022 04:04 AM,13-01-2022 05:56 AM,"Complainant appeared at MP-IND-03 and stated that a break-in at commercial premises happened between 13-01-2022 04:04 AM and 13-01-2022 05:56 AM in Indore. It is stated that the accused came on foot, struck while the occupants were inside, broke the lock, used a screwdriver, fled on foot, appear to have picked the target by chance, made no attempt to avoid identification, were two or three persons, targeted a row house and took only selected valuables. Neighbours stated they did not hear anything unusual.",,TALA_TODA,KATAR_MAKAN,GHAR_WALE_MAUJOOD,CHUNINDA_SAMAN,DO_TEEN,PECHKAS,KOI_NAHI,AKASMIK,SONE_KE_GAHNE|NAKAD,PAIDAL,PAIDAL,,,,,,,,,
MP-UJJ-01,Ujjain,MP-UJJ-01/0002/2022,14-01-2022 07:30 PM,ATM_CHHEDCHHAD,14-01-2022 12:07 AM,14-01-2022 12:01 PM,"Report received at MP-UJJ-01, Ujjain: ATM tampering between 14-01-2022 12:07 AM and 14-01-2022 12:01 PM. It is stated that the accused left the alarm untouched, disabled the CCTV camera, took cash, used a gas cutter, struck early in the morning, cut the machine open with gas and targeted a white-label ATM. The complainant has submitted bills for some of the items. Nearby shops were closed at the time.",,,,,,,GAS_KATAR,CCTV_TODA,,NAKAD,PAIDAL,,,,,,,,WHITE_LABEL_ATM,GAS_SE_KATA,
MP-JAB-06,Jabalpur,MP-JAB-06/0007/2022,15-01-2022 01:58 AM,CHAIN_JHAPATNA,12-01-2022 05:01 AM,12-01-2022 05:04 AM,"Report received at MP-JAB-06, Jabalpur: chain snatching between 12-01-2022 05:01 AM and 12-01-2022 05:04 AM. It is stated that the accused struck early in the morning, escaped through the lanes, came on a two-wheeler and made no attempt to avoid identification. The complainant noticed the incident on returning and informed the police. Fingerprint experts visited the scene.",,,,,,CHAAR_SE_ADHIK,KOI_NAHI,KOI_NAHI,AKASMIK,,DO_PAHIYA,,,,,SCOOTY,BUS_KA_INTEZAAR,GALIYON_SE,,,
MP-GWA-05,Gwalior,MP-GWA-05/0003/2022,15-01-2022 06:57 AM,GRIH_BHEDAN,06-01-2022 05:02 AM,14-01-2022 06:56 PM,"Complainant appeared at MP-GWA-05 and stated that a house burglary happened between 06-01-2022 05:02 AM and 14-01-2022 06:56 PM in Gwalior. It is stated that the accused targeted an independent house, left no sign of tools, were a group of four or more, made no attempt to avoid identification, took gold ornaments, took cash, took electronic items and entered without force. The total value of the stolen property is estimated at Rs. 46,555. The beat constable had passed the area about an hour earlier.",DARWAZA,BINA_TOD_FOD,SWATANTRA_MAKAN,,CHUNINDA_SAMAN,CHAAR_SE_ADHIK,KOI_NAHI,,,SONE_KE_GAHNE|NAKAD|ELECTRONIC_SAMAN,PAIDAL,,,,,,,,,,
MP-GWA-04,Gwalior,MP-GWA-04/0005/2022,15-01-2022 08:27 AM,CHAIN_JHAPATNA,14-01-2022 05:07 PM,14-01-2022 05:12 PM,"Report received at MP-GWA-04, Gwalior: chain snatching between 14-01-2022 05:07 PM and 14-01-2022 05:12 PM. It is stated that the accused escaped along the main road, came on a two-wheeler, targeted a victim on a morning walk, appear to have picked the target by chance, were two or three persons, took gold ornaments, had their faces covered and struck during the day. Fingerprint experts visited the scene. Enquiries with nearby residents are in progress.",,,,,,DO_TEEN,KOI_NAHI,MUNH_DHAKA,AKASMIK,SONE_KE_GAHNE,DO_PAHIYA,DO_PAHIYA,,,,MOTORCYCLE,SUBAH_TEHALNA,MUKHYA_MARG,,,
MP-GWA-03,Gwalior,MP-GWA-03/0003/2022,15-01-2022 01:16 PM,CHAIN_JHAPATNA,15-01-2022 01:14 AM,15-01-2022 01:18 AM,"The informant reported a chain snatching in the jurisdiction of MP-GWA-03 between 15-01-2022 01:14 AM and 15-01-2022 01:18 AM. It is stated that the accused struck at night, came on a two-wheeler, left no sign of tools, targeted a victim who was walking, appear to have picked the target by chance, escaped towards the highway, fled on a two-wheeler and made no attempt to avoid identification. The dog squad was summoned to the spot. Neighbours stated they did not hear anything unusual.",,,,,,DO_TEEN,KOI_NAHI,KOI_NAHI,AKASMIK,SONE_KE_GAHNE,DO_PAHIYA,DO_PAHIYA,,,,,PAIDAL_JA_RAHI,HIGHWAY,,,
MP-GWA-06,Gwalior,MP-GWA-06/0005/2022,15-01-2022 07:06 PM,GRIH_BHEDAN,12-01-2022 01:27 PM,12-01-2022 02:30 PM,"Report received at MP-GWA-06, Gwalior: house burglary between 12-01-2022 01:27 PM and 12-01-2022 02:30 PM. It is stated that the accused entered without force, targeted an apartment, made no attempt to avoid identification, took cash, fled on a two-wheeler, were two or three persons and went straight to where the valuables were kept. The beat constable had passed the area about an hour earlier. The total value of the stolen property is estimated at Rs. 465,472.",,BINA_TOD_FOD,FLAT,,SEEDHE_TIJORI,DO_TEEN,KOI_NAHI,KOI_NAHI,,NAKAD,DO_PAHIYA,DO_PAHIYA,,,,,,,,,
MP-GWA-02,Gwalior,MP-GWA-02/0007/2022,15-01-2022 08:50 PM,GRIH_BHEDAN,14-01-2022,15-01-2022,"Report received at MP-GWA-02, Gwalior: house burglary between 14-01-2022 and 15-01-2022. It is stated that the accused climbed in via the balcony, entered without force, came in a four-wheeler, targeted an apartment, fled on a two-wheeler, struck while the occupants were inside, made no attempt to avoid identification and took gold ornaments. Nearby shops were closed at the time. The dog squad was summoned to the spot.",BALCONY,BINA_TOD_FOD,FLAT,GHAR_WALE_MAUJOOD,SEEDHE_TIJORI,DO_TEEN,,KOI_NAHI,,SONE_KE_GAHNE,CHAR_PAHIYA,DO_PAHIYA,,,,,,,,,
MP-JAB-05,Jabalpur,MP-JAB-05/0003/2022,15-01-2022 10:23 PM,VAHAN_CHORI,15-01-2022 05:23 PM,15-01-2022 06:25 PM,"Report received at MP-JAB-05, Jabalpur: vehicle theft between 15-01-2022 05:23 PM and 15-01-2022 06:25 PM. It is stated that the accused broke the handle lock, took it from residential parking, made no attempt to avoid identification, fled on a two-wheeler, acted alone, took a vehicle, struck during the day and came on foot. The complainant noticed the incident on returning and informed the police. The total value of the stolen property is estimated at Rs. 229,247.",,,,,,EK,PECHKAS,KOI_NAHI,,VAHAN,PAIDAL,DO_PAHIYA,,HANDLE_LOCK_TODA,GHAR_KE_BAHAR,,,,,,
MP-UJJ-05,Ujjain,MP-UJJ-05/0005/2022,16-01-2022 02:42 AM,CHAIN_JHAPATNA,11-01-2022 08:22 AM,11-01-2022 08:44 AM,"Report received at MP-UJJ-05, Ujjain: chain snatching between 11-01-2022 08:22 AM and 11-01-2022 08:44 AM. It is stated that the accused targeted a victim on a morning walk, struck during the day, acted alone, left no sign of tools and came on foot. Street lights in the area were reported not working. The dog squad was summoned to the spot.",,,,,,EK,KOI_NAHI,KOI_NAHI,,SONE_KE_GAHNE,PAIDAL,,,,,KOI_NAHI,SUBAH_TEHALNA,HIGHWAY,,,
MP-BHO-03,Bhopal,MP-BHO-03/0001/2022,16-01-2022 04:57 AM,CHAIN_JHAPATNA,15-01-2022 07:20 PM,15-01-2022 07:23 PM,"Report received at MP-BHO-03, Bhopal: chain snatching between 15-01-2022 07:20 PM and 15-01-2022 07:23 PM. It is stated that the accused left no sign of tools, rode a scooter, took gold ornaments, took electronic items, escaped along the main road and struck during the day. Fingerprint experts visited the scene.",,,,,,,KOI_NAHI,KOI_NAHI,,SONE_KE_GAHNE|ELECTRONIC_SAMAN,,,,,,SCOOTY,PAIDAL_JA_RAHI,MUKHYA_MARG,,,
MP-IND-06,Indore,MP-IND-06/0001/2022,16-01-2022 05:03 AM,ATM_CHHEDCHHAD,14-01-2022 07:48 PM,15-01-2022 01:07 AM,"Complainant appeared at MP-IND-06 and stated that a ATM tampering happened between 14-01-2022 07:48 PM and 15-01-2022 01:07 AM in Indore. It is stated that the accused acted alone, left the alarm untouched, took cash, made no attempt to avoid identification, targeted an offsite ATM kiosk and fled on a two-wheeler. It had been raining heavily that evening. Fingerprint experts visited the scene.",,,,,,EK,KATAR|PECHKAS|GAS_KATAR,KOI_NAHI,,NAKAD,,,,,,,,,BAHARI_ATM,,ALARM_CHALU
MP-UJJ-05,Ujjain,MP-UJJ-05/0006/2022,16-01-2022 08:11 AM,CHAIN_JHAPATNA,15-01-2022 05:15 AM,15-01-2022 05:18 AM,"Complainant appeared at MP-UJJ-05 and stated that a chain snatching happened between 15-01-2022 05:15 AM and 15-01-2022 05:18 AM in Ujjain. It is stated that the accused rode a motorcycle, escaped along the main road, struck early in the morning, took gold ornaments and left no sign of tools. A relative of the complainant was the first to notice. Street lights in the area were reported not working.",,,,,,EK,KOI_NAHI,MUNH_DHAKA,AKASMIK,SONE_KE_GAHNE,,DO_PAHIYA,,,,MOTORCYCLE,,MUKHYA_MARG,,,
MP-UJJ-03,Ujjain,MP-UJJ-03/0003/2022,16-01-2022 09:59 AM,VAHAN_CHORI,15-01-2022 05:31 PM,16-01-2022 02:10 AM,"The informant reported a vehicle theft in the jurisdiction of MP-UJJ-03 between 15-01-2022 05:31 PM and 16-01-2022 02:10 AM. It is stated that the accused took it from residential parking, fled on a two-wheeler, took documents, took a vehicle, left no sign of tools, lifted or towed it away, stole a scooter, made no attempt to avoid identification and came on foot. The complainant noticed the incident on returning and informed the police.",,,,,,CHAAR_SE_ADHIK,KOI_NAHI,KOI_NAHI,AKASMIK,DASTAVEZ|VAHAN,PAIDAL,DO_PAHIYA,,UTHA_LE_GAYE,GHAR_KE_BAHAR,,,,,,
MP-GWA-02,Gwalior,MP-GWA-02/0008/2022,16-01-2022 10:43 AM,CHAIN_JHAPATNA,15-01-2022 01:55 PM,15-01-2022 01:58 PM,"Report received at MP-GWA-02, Gwalior: chain snatching between 15-01-2022 01:55 PM and 15-01-2022 01:58 PM. It is stated that the accused struck during the day, rode a motorcycle, fled on a two-wheeler, took gold ornaments, left no sign of tools and were a group of four or more. The total value of the stolen property is estimated at Rs. 57,378. Enquiries with nearby residents are in progress.",,,,,,CHAAR_SE_ADHIK,KOI_NAHI,,,SONE_KE_GAHNE,DO_PAHIYA,DO_PAHIYA,,,,MOTORCYCLE,SUBAH_TEHALNA,MUKHYA_MARG,,,
MP-UJJ-03,Ujjain,MP-UJJ-03/0004/2022,16-01-2022 03:40 PM,GRIH_BHEDAN,15-01-2022 09:52 PM,16-01-2022 08:15 AM,"Complainant appeared at MP-UJJ-03 and stated that a house burglary happened between 15-01-2022 09:52 PM and 16-01-2022 08:15 AM in Ujjain. It is stated that the accused struck while the occupants were out, were a group of four or more, struck at night, made no attempt to avoid identification and used a cutter. The total value of the stolen property is estimated at Rs. 326,521. The complainant has submitted bills for some of the items.",,DHAKKA_DEKAR_KHOLA,FLAT,THODI_DER_BAHAR,SAB_BIKHRA,CHAAR_SE_ADHIK,KATAR,KOI_NAHI,,,PAIDAL,PAIDAL,,,,,,,,,
MP-BHO-01,Bhopal,MP-BHO-01/0002/2022,16-01-2022 06:50 PM,GRIH_BHEDAN,15-01-2022 10:12 PM,16-01-2022 02:28 AM,"The informant reported a house burglary in the jurisdiction of MP-BHO-01 between 15-01-2022 10:12 PM and 16-01-2022 02:28 AM. It is stated that the accused took gold ornaments, took cash, took electronic items, acted alone, fled on foot, struck while the occupants were out, used a crowbar, used a cutter and wore gloves. The complainant noticed the incident on returning and informed the police. The complainant does not suspect anyone.",BALCONY,,SWATANTRA_MAKAN,THODI_DER_BAHAR,,EK,SABBAL|KATAR,DASTANE,,SONE_KE_GAHNE|NAKAD|ELECTRONIC_SAMAN,PAIDAL,PAIDAL,,,,,,,,,
MP-GWA-02,Gwalior,MP-GWA-02/0009/2022,16-01-2022 07:12 PM,GRIH_BHEDAN,01-01-2022 03:12 AM,14-01-2022 03:40 PM,"Complainant appeared at MP-GWA-02 and stated that a house burglary happened between 01-01-2022 03:12 AM and 14-01-2022 03:40 PM in Gwalior. It is stated that the accused came on foot, got in through the door, took only selected valuables, fled on foot and targeted an independent house. The complainant noticed the incident on returning and informed the police. Street lights in the area were reported not working.",DARWAZA,BINA_TOD_FOD,SWATANTRA_MAKAN,BAHARGAON_GAYE,CHUNINDA_SAMAN,,,KOI_NAHI,,SONE_KE_GAHNE|NAKAD,PAIDAL,,,,,,,,,,
MP-GWA-04,Gwalior,MP-GWA-04/0006/2022,16-01-2022 07:59 PM,GRIH_BHEDAN,21-12-2021 07:19 AM,15-01-2022 04:54 AM,"Report received at MP-GWA-04, Gwalior: house burglary between 21-12-2021 07:19 AM and 15-01-2022 04:54 AM. It is stated that the accused came on foot, appear to have watched the place beforehand, fled in a four-wheeler, wore gloves, targeted an independent house, used a cutter, were a group of four or more and ransacked the place. The total value of the stolen property is estimated at Rs. 318,921. The complainant noticed the incident on returning and informed the police.",KHIDKI,NAKLI_CHABI,SWATANTRA_MAKAN,BAHARGAON_GAYE,SAB_BIKHRA,CHAAR_SE_ADHIK,KATAR,DASTANE,REKI_KI,SONE_KE_GAHNE|NAKAD|ELECTRONIC_SAMAN,PAIDAL,CHAR_PAHIYA,,,,,,,,,
MP-GWA-02,Gwalior,MP-GWA-02/0010/2022,16-01-2022 08:30 PM,GRIH_BHEDAN,15-01-2022 10:17 PM,16-01-2022 01:31 AM,"Report received at MP-GWA-02, Gwalior: house burglary between 15-01-2022 10:17 PM and 16-01-2022 01:31 AM. It is stated that the accused climbed in via the balcony, were two or three persons, made no attempt to avoid identification, targeted an apartment, struck while the occupants were out, struck at night, appear to have picked the target by chance, took gold ornaments, took cash, took electronic items and fled in a four-wheeler. Nearby shops were closed at the time. The total value of the stolen property is estimated at Rs. 73,172.",BALCONY,DHAKKA_DEKAR_KHOLA,FLAT,THODI_DER_BAHAR,CHUNINDA_SAMAN,DO_TEEN,SABBAL,KOI_NAHI,AKASMIK,SONE_KE_GAHNE|NAKAD|ELECTRONIC_SAMAN,PAIDAL,CHAR_PAHIYA,,,,,,,,,
MP-IND-01,Indore,MP-IND-01/0004/2022,17-01-2022 01:18 AM,VAHAN_CHORI,16-01-2022 03:14 AM,16-01-2022 11:15 AM,"Complainant appeared at MP-IND-01 and stated that a vehicle theft happened between 16-01-2022 03:14 AM and 16-01-2022 11:15 AM in Indore. It is stated that the accused made no attempt to avoid identification, fled on a two-wheeler, acted alone, came on a two-wheeler, stole a motorcycle, lifted or towed it away, took it from a public parking lot, took cash and took a vehicle. A relative of the complainant was the first to notice. Neighbours stated they did not hear anything unusual.",,,,,,EK,,KOI_NAHI,,NAKAD|VAHAN,DO_PAHIYA,DO_PAHIYA,MOTORCYCLE,UTHA_LE_GAYE,SARVAJANIK_PARKING,,,,,,
MP-UJJ-03,Ujjain,MP-UJJ-03/0005/2022,17-01-2022 06:43 AM,GRIH_BHEDAN,15-01-2022 09:37 PM,16-01-2022 02:24 AM,"Report received at MP-UJJ-03, Ujjain: house burglary between 15-01-2022 09:37 PM and 16-01-2022 02:24 AM. It is stated that the accused struck at night, took only selected valuables and forced the door open. Nearby shops were closed at the time. A relative of the complainant was the first to notice.",KHIDKI,DHAKKA_DEKAR_KHOLA,FLAT,,CHUNINDA_SAMAN,DO_TEEN,PECHKAS,,AKASMIK,SONE_KE_GAHNE,PAIDAL,,,,,,,,,,
MP-BHO-05,Bhopal,MP-BHO-05/0005/2022,17-01-2022 10:40 AM,GRIH_BHEDAN,16-01-2022 08:58 AM,17-01-2022 05:57 AM,"The informant reported a house burglary in the jurisdiction of MP-BHO-05 between 16-01-2022 08:58 AM and 17-01-2022 05:57 AM. It is stated that the accused came on foot, entered without force, used a crowbar and used a screwdriver. A relative of the complainant was the first to notice. Neighbours stated they did not hear anything unusual.",,BINA_TOD_FOD,,THODI_DER_BAHAR,CHUNINDA_SAMAN,DO_TEEN,SABBAL|PECHKAS,KOI_NAHI,,SONE_KE_GAHNE|NAKAD,PAIDAL,PAIDAL,,,,,,,,,
MP-BHO-04,Bhopal,MP-BHO-04/0003/2022,17-01-2022 12:27 PM,VAHAN_CHORI,17-01-2022 12:46 AM,17-01-2022 07:38 AM,"The informant reported a vehicle theft in the jurisdiction of MP-BHO-04 between 17-01-2022 12:46 AM and 17-01-2022 07:38 AM. It is stated that the accused were two or three persons, fled on a two-wheeler, took a vehicle, appear to have had inside information, took it from the roadside and left no sign of tools. The complainant does not suspect anyone. A spot panchnama was drawn up in the presence of witnesses.",,,,,,DO_TEEN,KOI_NAHI,KOI_NAHI,BHEDI_SOOCHNA,VAHAN,,DO_PAHIYA,SCOOTY,,SADAK_KINARE,,,,,,
MP-UJJ-02,Ujjain,MP-UJJ-02/0003/2022,17-01-2022 12:35 PM,GRIH_BHEDAN,16-01-2022 04:11 AM,17-01-2022 04:14 AM,"Report received at MP-UJJ-02, Ujjain: house burglary between 16-01-2022 04:11 AM and 17-01-2022 04:14 AM. It is stated that the accused took electronic items, acted alone, made no attempt to avoid identification, appear to have picked the target by chance, struck while the occupants were out and ransacked the place. The complainant has submitted bills for some of the items. The total value of the stolen property is estimated at Rs. 108,680.",,NAKLI_CHABI,FLAT,THODI_DER_BAHAR,SAB_BIKHRA,EK,KOI_NAHI,KOI_NAHI,AKASMIK,ELECTRONIC_SAMAN,,CHAR_PAHIYA,,,,,,,,,
MP-GWA-03,Gwalior,MP-GWA-03/0004/2022,18-01-2022 01:17 PM,DUKAN_BHEDAN,16-01-2022 03:07 AM,16-01-2022 07:28 PM,"Complainant appeared at MP-GWA-03 and stated that a break-in at commercial premises happened between 16-01-2022 03:07 AM and 16-01-2022 07:28 PM in Gwalior. It is stated that the accused targeted an independent house, climbed in via the balcony, acted alone, made no attempt to avoid identification and came on a two-wheeler. Enquiries with nearby residents are in progress. Neighbours stated they did not hear anything unusual.",BALCONY,,SWATANTRA_MAKAN,THODI_DER_BAHAR,,EK,KOI_NAHI,KOI_NAHI,AKASMIK,SONE_KE_GAHNE|ELECTRONIC_SAMAN,DO_PAHIYA,,,,,,,,,,
MP-JAB-04,Jabalpur,MP-JAB-04/0004/2022,18-01-2022 01:41 PM,GRIH_BHEDAN,17-01-2022 01:44 AM,18-01-2022 12:37 AM,"Complainant appeared at MP-JAB-04 and stated that a house burglary happened between 17-01-2022 01:44 AM and 18-01-2022 12:37 AM in Jabalpur. It is stated that the accused appear to have watched the place beforehand, fled on foot, targeted an apartment, used a screwdriver, made no attempt to avoid identification, took gold ornaments, took cash, got in through the door and came on a two-wheeler. The beat constable had passed the area about an hour earlier. A relative of the complainant was the first to notice.",DARWAZA,,FLAT,THODI_DER_BAHAR,SAB_BIKHRA,CHAAR_SE_ADHIK,PECHKAS,KOI_NAHI,REKI_KI,SONE_KE_GAHNE|NAKAD,DO_PAHIYA,PAIDAL,,,,,,,,,
MP-BHO-02,Bhopal,MP-BHO-02/0003/2022,18-01-2022 05:25 PM,DUKAN_BHEDAN,17-01-2022 01:56 AM,17-01-2022 01:06 PM,"Report received at MP-BHO-02, Bhopal: break-in at commercial premises between 17-01-2022 01:56 AM and 17-01-2022 01:06 PM. It is stated that the accused used a screwdriver, got in through the door, took cash, ransacked the place and struck during the day. Enquiries with nearby residents are in progress. Fingerprint experts visited the scene.",DARWAZA,BINA_TOD_FOD,,THODI_DER_BAHAR,SAB_BIKHRA,,PECHKAS,KOI_NAHI,,NAKAD,DO_PAHIYA,,,,,,,,,,
MP-UJJ-04,Ujjain,MP-UJJ-04/0003/2022,18-01-2022 06:23 PM,CHAIN_JHAPATNA,18-01-2022 06:15 AM,18-01-2022 06:23 AM,"Complainant appeared at MP-UJJ-04 and stated that a chain snatching happened between 18-01-2022 06:15 AM and 18-01-2022 06:23 AM in Ujjain. It is stated that the accused targeted a victim riding pillion, were two or three persons, took electronic items, fled on a two-wheeler, rode a motorcycle, left no sign of tools and escaped through the lanes. The dog squad was summoned to the spot. Street lights in the area were reported not working.",,,,,,DO_TEEN,KOI_NAHI,DASTANE,,ELECTRONIC_SAMAN,DO_PAHIYA,DO_PAHIYA,,,,MOTORCYCLE,PICHHE_BAITHI,GALIYON_SE,,,
