fir_number,district_name,ps_name,crime_category,offence_from_dt,offence_to_dt,fir_reg_dt,mo_description,brief_facts
TG-HAN-02/0006/2022,Hanumakonda,TG-HAN-02,MV Theft,2022-02-01T00:46:00,2022-02-01T05:11:00,2022-02-02T20:52:00,Accused made no attempt to avoid identification; came on foot; stole a scooter; started it by joining the wires; left no sign of tools; took it from a public parking lot; fled on a two-wheeler; struck at night; took a vehicle.,"The complainant reported vehicle theft that occurred between 2022-02-01T00:46:00 and 2022-02-01T05:11:00 in Hanumakonda. It is stated that the accused made no attempt to avoid identification, came on foot, stole a scooter, left no sign of tools, took it from a public parking lot, fled on a two-wheeler, struck at night and took a vehicle. Nearby shops were closed at the time."
TG-KAR-06/0003/2022,Karimnagar,TG-KAR-06,HB - Residential,2022-01-31T13:18:00,2022-01-31T14:27:00,2022-02-02T21:09:00,Accused struck while the occupants were inside; left no sign of tools; came on a two-wheeler; struck during the day; appear to have watched the place beforehand; ransacked the place; took nothing; fled on a two-wheeler; got in through the door; targeted an apartment; were a group of four or more; broke the lock; made no attempt to avoid identification.,"Complaint received at TG-KAR-06 (Karimnagar) regarding house burglary between 2022-01-31T13:18:00 and 2022-01-31T14:27:00. It is stated that the accused struck while the occupants were inside, left no sign of tools, came on a two-wheeler, struck during the day, appear to have watched the place beforehand, ransacked the place, took nothing, fled on a two-wheeler, got in through the door, were a group of four or more, broke the lock and made no attempt to avoid identification. The beat constable had passed the area about an hour earlier. The total value of the stolen property is estimated at Rs. 406,602."
TG-KAR-02/0005/2022,Karimnagar,TG-KAR-02,ATM Offence,2022-02-03,2022-02-03,2022-02-03T17:36:00,Accused targeted an offsite ATM kiosk; left the alarm untouched; appear to have watched the place beforehand; used a screwdriver; used a gas cutter; had their faces covered; were a group of four or more; came on a two-wheeler; cut the machine open with gas; fled in a four-wheeler.,"The complainant reported ATM tampering that occurred between 2022-02-03 and 2022-02-03 in Karimnagar. It is stated that the accused targeted an offsite ATM kiosk, left the alarm untouched, appear to have watched the place beforehand, took electronic items, used a screwdriver, used a gas cutter, had their faces covered, were a group of four or more, came on a two-wheeler, cut the machine open with gas and fled in a four-wheeler. The dog squad was summoned to the spot. Fingerprint experts visited the scene."
TG-HAN-06/0006/2022,Hanumakonda,TG-HAN-06,Chain Snatching,2022-02-03T13:27:00,2022-02-03T13:43:00,2022-02-03T21:14:00,Accused came on a two-wheeler; targeted a victim who was walking; took gold ornaments; were two or three persons; made no attempt to avoid identification; fled on a two-wheeler; struck during the day; rode a motorcycle; appear to have watched the place beforehand; left no sign of tools.,"Complaint received at TG-HAN-06 (Hanumakonda) regarding chain snatching between 2022-02-03T13:27:00 and 2022-02-03T13:43:00. It is stated that the accused escaped through the lanes, came on a two-wheeler, targeted a victim who was walking, took gold ornaments, were two or three persons, made no attempt to avoid identification, fled on a two-wheeler, struck during the day, rode a motorcycle and left no sign of tools. A spot panchnama was drawn up in the presence of witnesses. The complainant has submitted bills for some of the items."
TG-RAN-05/0007/2022,Rangareddy,TG-RAN-05,ATM Offence,2022-02-03T21:32:00,2022-02-04T13:45:00,2022-02-05T03:39:00,Accused appear to have watched the place beforehand; targeted an ATM at a bank branch; were two or three persons; took cash; fitted a cash trap; had their faces covered.,"Complaint received at TG-RAN-05 (Rangareddy) regarding ATM tampering between 2022-02-03T21:32:00 and 2022-02-04T13:45:00. It is stated that the accused appear to have watched the place beforehand, were two or three persons, took cash, fitted a cash trap, had their faces covered and came on a two-wheeler. The complainant noticed the incident on returning and informed the police."
TG-HYD-04/0001/2022,Hyderabad,TG-HYD-04,HB - Residential,2022-02-03T00:25:00,2022-02-03T09:56:00,2022-02-05T07:09:00,Accused used a crowbar; used a screwdriver; struck while the occupants were inside; got in through the door; had their faces covered; took gold ornaments; took cash; fled on a two-wheeler; targeted an independent house; struck early in the morning.,"Complaint received at TG-HYD-04 (Hyderabad) regarding house burglary between 2022-02-03T00:25:00 and 2022-02-03T09:56:00. It is stated that the accused appear to have picked the target by chance, used a crowbar, used a screwdriver, struck while the occupants were inside, got in through the door, took gold ornaments, took cash, fled on a two-wheeler, targeted an independent house and struck early in the morning. The total value of the stolen property is estimated at Rs. 448,772."
TG-NIZ-05/0004/2022,Nizamabad,TG-NIZ-05,HB - Commercial,2022-02-04T07:34:00,2022-02-05T01:40:00,2022-02-05T07:11:00,Accused used a crowbar; targeted an apartment; came on a two-wheeler; struck while the occupants were out; were two or three persons; forced the door open; took gold ornaments; took cash; got in through a window.,"Complaint received at TG-NIZ-05 (Nizamabad) regarding break-in at commercial premises between 2022-02-04T07:34:00 and 2022-02-05T01:40:00. It is stated that the accused used a crowbar, targeted an apartment, came on a two-wheeler, struck while the occupants were out, were two or three persons, forced the door open and got in through a window. The complainant does not suspect anyone. The dog squad was summoned to the spot."
TG-HAN-06/0007/2022,Hanumakonda,TG-HAN-06,ATM Offence,2022-02-02T13:54:00,2022-02-04T19:58:00,2022-02-05T11:00:00,Accused came in a four-wheeler; targeted an ATM at a bank branch; left the alarm untouched; took cash; were a group of four or more; fled in a four-wheeler; forced the machine open.,"The complainant reported ATM tampering that occurred between 2022-02-02T13:54:00 and 2022-02-04T19:58:00 in Hanumakonda. It is stated that the accused targeted an ATM at a bank branch, left the alarm untouched, took cash, were a group of four or more, fled in a four-wheeler and forced the machine open. Enquiries with nearby residents are in progress. Nearby shops were closed at the time."
TG-HYD-06/0005/2022,Hyderabad,TG-HYD-06,HB - Residential,2022-01-30T23:12:00,2022-02-05T03:31:00,2022-02-05T14:32:00,Accused forced the door open; fled on a two-wheeler; struck while the house was locked for days; targeted an independent house; came on a two-wheeler; got in through a window; went straight to where the valuables were kept.,"Case registered at TG-HYD-06 on a complaint of house burglary committed between 2022-01-30T23:12:00 and 2022-02-05T03:31:00. It is stated that the accused forced the door open, appear to have picked the target by chance, fled on a two-wheeler, made no attempt to avoid identification, struck while the house was locked for days, targeted an independent house, came on a two-wheeler, got in through a window and went straight to where the valuables were kept. Nearby shops were closed at the time. The dog squad was summoned to the spot."
TG-HYD-01/0004/2022,Hyderabad,TG-HYD-01,Chain Snatching,2022-02-05T08:49:00,2022-02-05T08:52:00,2022-02-05T21:31:00,Accused fled on a two-wheeler; took nothing; left no sign of tools; struck during the day; came on a two-wheeler; acted alone; appear to have watched the place beforehand; targeted a victim on a morning walk; escaped along the main road.,"Complaint received at TG-HYD-01 (Hyderabad) regarding chain snatching between 2022-02-05T08:49:00 and 2022-02-05T08:52:00. It is stated that the accused fled on a two-wheeler, took nothing, left no sign of tools, struck during the day, came on a two-wheeler, acted alone, targeted a victim on a morning walk and escaped along the main road. Neighbours stated they did not hear anything unusual. Nearby shops were closed at the time."
TG-KAR-07/0006/2022,Karimnagar,TG-KAR-07,Chain Snatching,2022-02-04T21:28:00,2022-02-04T21:30:00,2022-02-06T02:22:00,Accused rode a motorcycle; targeted a victim on a morning walk; were two or three persons; came on a two-wheeler; left no sign of tools; struck during the day; fled on a two-wheeler; took gold ornaments.,"Case registered at TG-KAR-07 on a complaint of chain snatching committed between 2022-02-04T21:28:00 and 2022-02-04T21:30:00. It is stated that the accused rode a motorcycle, targeted a victim on a morning walk, were two or three persons, came on a two-wheeler, left no sign of tools, struck during the day and fled on a two-wheeler. The complainant does not suspect anyone. The total value of the stolen property is estimated at Rs. 273,767."
TG-HYD-01/0005/2022,Hyderabad,TG-HYD-01,ATM Offence,2022-02-05T14:18:00,2022-02-06T03:53:00,2022-02-06T06:34:00,Accused appear to have had inside information; came on a two-wheeler; were two or three persons; cut the machine open with gas; targeted an ATM at a bank branch; took cash; wore gloves; used a screwdriver; used a gas cutter; fled on foot.,"Case registered at TG-HYD-01 on a complaint of ATM tampering committed between 2022-02-05T14:18:00 and 2022-02-06T03:53:00. It is stated that the accused appear to have had inside information, came on a two-wheeler, were two or three persons, cut the machine open with gas, took cash, used a screwdriver, used a gas cutter and fled on foot. Neighbours stated they did not hear anything unusual. Fingerprint experts visited the scene."
TG-RAN-07/0006/2022,Rangareddy,TG-RAN-07,HB - Residential,2022-02-06T02:13:00,2022-02-06T03:01:00,2022-02-06T09:41:00,Accused struck at night; struck while the occupants were inside; acted alone; targeted an independent house; appear to have picked the target by chance; used a crowbar; used a screwdriver; took gold ornaments; took electronic items; fled on foot; wore gloves; came on foot.,"The complainant reported house burglary that occurred between 2022-02-06T02:13:00 and 2022-02-06T03:01:00 in Rangareddy. It is stated that the accused struck at night, struck while the occupants were inside, acted alone, targeted an independent house, appear to have picked the target by chance, used a crowbar, used a screwdriver, took gold ornaments, took electronic items, fled on foot, wore gloves and came on foot. Nearby shops were closed at the time. Street lights in the area were reported not working."
TG-HYD-07/0003/2022,Hyderabad,TG-HYD-07,MV Theft,2022-02-06T05:35:00,2022-02-06T08:03:00,2022-02-07T07:15:00,Accused struck early in the morning; fled on a two-wheeler; stole a motorcycle; used a cutter; used a screwdriver; started it with a duplicate key; made no attempt to avoid identification; took a vehicle; took it from station parking.,"Complaint received at TG-HYD-07 (Hyderabad) regarding vehicle theft between 2022-02-06T05:35:00 and 2022-02-06T08:03:00. It is stated that the accused fled on a two-wheeler, stole a motorcycle, used a cutter, used a screwdriver, started it with a duplicate key, made no attempt to avoid identification, took a vehicle and took it from station parking. Fingerprint experts visited the scene. Nearby shops were closed at the time."
TG-HYD-02/0003/2022,Hyderabad,TG-HYD-02,MV Theft,2022-02-05T15:59:00,2022-02-06T09:59:00,2022-02-07T08:57:00,Accused lifted or towed it away; made no attempt to avoid identification; were two or three persons; stole a motorcycle; took it from the roadside; used a cutter; used a screwdriver; appear to have picked the target by chance; came on a two-wheeler; fled on a two-wheeler.,"Case registered at TG-HYD-02 on a complaint of vehicle theft committed between 2022-02-05T15:59:00 and 2022-02-06T09:59:00. It is stated that the accused lifted or towed it away, made no attempt to avoid identification, stole a motorcycle, took it from the roadside, used a cutter, used a screwdriver, appear to have picked the target by chance, came on a two-wheeler and fled on a two-wheeler. The dog squad was summoned to the spot. The beat constable had passed the area about an hour earlier."
TG-HAN-05/0004/2022,Hanumakonda,TG-HAN-05,HB - Commercial,2022-02-05T21:09:00,2022-02-06T12:16:00,2022-02-07T11:59:00,Accused acted alone; had their faces covered; fled on a two-wheeler; targeted a godown; struck while the premises were closed for the night; used a screwdriver; took electronic items.,"Complaint received at TG-HAN-05 (Hanumakonda) regarding break-in at commercial premises between 2022-02-05T21:09:00 and 2022-02-06T12:16:00. It is stated that the accused acted alone, came on a two-wheeler, had their faces covered, fled on a two-wheeler, targeted a godown, struck while the premises were closed for the night, used a screwdriver and took electronic items. The dog squad was summoned to the spot. A spot panchnama was drawn up in the presence of witnesses."
TG-RAN-04/0006/2022,Rangareddy,TG-RAN-04,ATM Offence,2022-02-03T22:11:00,2022-02-07T03:09:00,2022-02-07T16:09:00,Accused left no sign of tools; came on foot; took cash; acted alone; fitted a cash trap; fled on foot; targeted an offsite ATM kiosk; made no attempt to avoid identification; appear to have watched the place beforehand; left the alarm untouched.,"Complaint received at TG-RAN-04 (Rangareddy) regarding ATM tampering between 2022-02-03T22:11:00 and 2022-02-07T03:09:00. It is stated that the accused left no sign of tools, came on foot, took cash, acted alone, fitted a cash trap, fled on foot, targeted an offsite ATM kiosk, made no attempt to avoid identification, appear to have watched the place beforehand and left the alarm untouched. It had been raining heavily that evening. The complainant noticed the incident on returning and informed the police."
TG-KAR-02/0006/2022,Karimnagar,TG-KAR-02,MV Theft,2022-02-07T03:48:00,2022-02-07T09:40:00,2022-02-07T17:32:00,Accused stole a car; took a vehicle; found the key left in the vehicle; struck early in the morning; fled in a four-wheeler; took it from residential parking; made no attempt to avoid identification; were a group of four or more; came on a two-wheeler.,"The complainant reported vehicle theft that occurred between 2022-02-07T03:48:00 and 2022-02-07T09:40:00 in Karimnagar. It is stated that the accused stole a car, took a vehicle, found the key left in the vehicle, struck early in the morning, appear to have watched the place beforehand, used a screwdriver, fled in a four-wheeler, took it from residential parking, were a group of four or more and came on a two-wheeler. The total value of the stolen property is estimated at Rs. 472,684. Street lights in the area were reported not working."
TG-HAN-03/0005/2022,Hanumakonda,TG-HAN-03,Chain Snatching,2022-02-07T07:39:00,2022-02-07T07:45:00,2022-02-07T23:03:00,Accused escaped along the main road; left no sign of tools; came on a two-wheeler; rode a motorcycle; struck during the day; took gold ornaments; took electronic items; made no attempt to avoid identification.,"Complaint received at TG-HAN-03 (Hanumakonda) regarding chain snatching between 2022-02-07T07:39:00 and 2022-02-07T07:45:00. It is stated that the accused escaped along the main road, left no sign of tools, fled on a two-wheeler, came on a two-wheeler, rode a motorcycle, struck during the day, appear to have picked the target by chance, took gold ornaments, took electronic items, made no attempt to avoid identification and targeted a victim on a morning walk. Street lights in the area were reported not working. Enquiries with nearby residents are in progress."
TG-HYD-06/0006/2022,Hyderabad,TG-HYD-06,MV Theft,2022-02-06,2022-02-07,2022-02-07T23:19:00,Accused made no attempt to avoid identification; came on foot; took it from the roadside; started it with a duplicate key; took a vehicle; left no sign of tools; stole a motorcycle; were two or three persons.,"The complainant reported vehicle theft that occurred between 2022-02-06 and 2022-02-07 in Hyderabad. It is stated that the accused made no attempt to avoid identification, took it from the roadside, started it with a duplicate key, took a vehicle, left no sign of tools, stole a motorcycle and were two or three persons. A spot panchnama was drawn up in the presence of witnesses. Fingerprint experts visited the scene."
TG-HAN-04/0004/2022,Hanumakonda,TG-HAN-04,HB - Residential,2022-01-31T00:00:00,2022-02-06T16:54:00,2022-02-08T02:24:00,Accused broke the lock; targeted an apartment; struck while the house was locked for days; made no attempt to avoid identification; appear to have picked the target by chance; were two or three persons; got in through the door; left no sign of tools; fled on foot; came on foot.,"Complaint received at TG-HAN-04 (Hanumakonda) regarding house burglary between 2022-01-31T00:00:00 and 2022-02-06T16:54:00. It is stated that the accused broke the lock, targeted an apartment, struck while the house was locked for days, made no attempt to avoid identification, were two or three persons, got in through the door, left no sign of tools and came on foot. Nearby shops were closed at the time. The complainant noticed the incident on returning and informed the police."
TG-HAN-03/0006/2022,Hanumakonda,TG-HAN-03,MV Theft,2022-02-07T01:42:00,2022-02-08T08:48:00,2022-02-08T16:00:00,Accused took a vehicle; found the key left in the vehicle; took it from the roadside; made no attempt to avoid identification; stole a car; were two or three persons; appear to have watched the place beforehand; fled in a four-wheeler.,"Case registered at TG-HAN-03 on a complaint of vehicle theft committed between 2022-02-07T01:42:00 and 2022-02-08T08:48:00. It is stated that the accused took a vehicle, found the key left in the vehicle, took it from the roadside, made no attempt to avoid identification, stole a car, were two or three persons, appear to have watched the place beforehand and fled in a four-wheeler. The beat constable had passed the area about an hour earlier. The complainant does not suspect anyone."
TG-HYD-03/0005/2022,Hyderabad,TG-HYD-03,HB - Residential,2022-02-06,2022-02-08,2022-02-08T17:29:00,Accused acted alone; took only selected valuables; used a crowbar; used a cutter; used a screwdriver; had their faces covered; climbed in via the balcony; forced the door open; came in a four-wheeler; targeted a shop-cum-residence.,"The complainant reported house burglary that occurred between 2022-02-06 and 2022-02-08 in Hyderabad. It is stated that the accused appear to have picked the target by chance, acted alone, took only selected valuables, had their faces covered, climbed in via the balcony, forced the door open, came in a four-wheeler and targeted a shop-cum-residence. The dog squad was summoned to the spot. The beat constable had passed the area about an hour earlier."
TG-NIZ-02/0001/2022,Nizamabad,TG-NIZ-02,HB - Residential,2022-02-07,2022-02-07,2022-02-08T20:33:00,Accused used a crowbar; used a screwdriver; struck while the occupants were out; took a vehicle; climbed in via the balcony; acted alone; took only selected valuables; targeted an independent house; made no attempt to avoid identification; fled on foot.,"Complaint received at TG-NIZ-02 (Nizamabad) regarding house burglary between 2022-02-07 and 2022-02-07. It is stated that the accused used a crowbar, used a screwdriver, struck while the occupants were out, took a vehicle, broke the lock, climbed in via the balcony, acted alone, took only selected valuables, targeted an independent house, made no attempt to avoid identification and fled on foot. The total value of the stolen property is estimated at Rs. 350,139. It had been raining heavily that evening."
TG-HYD-07/0004/2022,Hyderabad,TG-HYD-07,Chain Snatching,2022-02-08T12:53:00,2022-02-08T12:55:00,2022-02-08T23:28:00,Accused struck during the day; escaped along the main road; fled on a two-wheeler; rode a motorcycle; targeted a victim who was walking; had their faces covered; were two or three persons; came on a two-wheeler; left no sign of tools; took gold ornaments.,"Complaint received at TG-HYD-07 (Hyderabad) regarding chain snatching between 2022-02-08T12:53:00 and 2022-02-08T12:55:00. It is stated that the accused struck during the day, escaped along the main road, fled on a two-wheeler, rode a motorcycle, targeted a victim who was walking, had their faces covered, were two or three persons, came on a two-wheeler, left no sign of tools and took gold ornaments. Enquiries with nearby residents are in progress. Fingerprint experts visited the scene."
TG-KAR-07/0007/2022,Karimnagar,TG-KAR-07,ATM Offence,2022-02-07T11:41:00,2022-02-09T03:33:00,2022-02-09T13:04:00,Accused targeted a white-label ATM; left the alarm untouched; fled on a two-wheeler; acted alone; left no sign of tools; wore gloves; came in a four-wheeler; fitted a skimming device.,"The complainant reported ATM tampering that occurred between 2022-02-07T11:41:00 and 2022-02-09T03:33:00 in Karimnagar. It is stated that the accused targeted a white-label ATM, acted alone, left no sign of tools, wore gloves, came in a four-wheeler and fitted a skimming device. The complainant has submitted bills for some of the items. The total value of the stolen property is estimated at Rs. 399,810."
TG-RAN-01/0004/2022,Rangareddy,TG-RAN-01,HB - Residential,2022-02-07T23:07:00,2022-02-08T03:34:00,2022-02-09T14:37:00,Accused used a screwdriver; climbed in via the balcony; ransacked the place; struck at night; took gold ornaments; took cash; came on foot; made no attempt to avoid identification; struck while the occupants were inside.,"The complainant reported house burglary that occurred between 2022-02-07T23:07:00 and 2022-02-08T03:34:00 in Rangareddy. It is stated that the accused used a screwdriver, were two or three persons, climbed in via the balcony, struck at night, took gold ornaments, took cash, came on foot, made no attempt to avoid identification and struck while the occupants were inside. The complainant does not suspect anyone. Enquiries with nearby residents are in progress."
TG-HAN-01/0005/2022,Hanumakonda,TG-HAN-01,MV Theft,2022-02-09T07:38:00,2022-02-09T09:53:00,2022-02-09T15:35:00,Accused acted alone; stole a scooter; struck during the day; took it from a public parking lot; came on foot; fled on a two-wheeler; took cash; took a vehicle; appear to have picked the target by chance.,"The complainant reported vehicle theft that occurred between 2022-02-09T07:38:00 and 2022-02-09T09:53:00 in Hanumakonda. It is stated that the accused acted alone, took it from a public parking lot, fled on a two-wheeler, took cash, took a vehicle and appear to have picked the target by chance. The complainant does not suspect anyone. Nearby shops were closed at the time."
TG-HAN-05/0005/2022,Hanumakonda,TG-HAN-05,MV Theft,2022-02-08T01:07:00,2022-02-08T06:39:00,2022-02-09T16:23:00,Accused used a screwdriver; took it from a market area; made no attempt to avoid identification; fled on a two-wheeler; stole a motorcycle; struck at night; found the key left in the vehicle; took a vehicle.,"Case registered at TG-HAN-05 on a complaint of vehicle theft committed between 2022-02-08T01:07:00 and 2022-02-08T06:39:00. It is stated that the accused used a screwdriver, acted alone, took it from a market area, made no attempt to avoid identification, fled on a two-wheeler, stole a motorcycle, struck at night, found the key left in the vehicle and took a vehicle. Neighbours stated they did not hear anything unusual. Street lights in the area were reported not working."
TG-RAN-05/0008/2022,Rangareddy,TG-RAN-05,MV Theft,2022-02-08T15:18:00,2022-02-09T09:02:00,2022-02-09T17:11:00,Accused came on foot; fled on a two-wheeler; took it from the roadside; stole a motorcycle; appear to have picked the target by chance; started it by joining the wires; made no attempt to avoid identification; took a vehicle; acted alone.,"Case registered at TG-RAN-05 on a complaint of vehicle theft committed between 2022-02-08T15:18:00 and 2022-02-09T09:02:00. It is stated that the accused came on foot, fled on a two-wheeler, took it from the roadside, stole a motorcycle, appear to have picked the target by chance, started it by joining the wires, made no attempt to avoid identification, took a vehicle and acted alone. The complainant noticed the incident on returning and informed the police. Neighbours stated they did not hear anything unusual."
TG-NIZ-02/0002/2022,Nizamabad,TG-NIZ-02,Chain Snatching,2022-02-09T05:14:00,2022-02-09T05:23:00,2022-02-09T17:54:00,Accused made no attempt to avoid identification; struck early in the morning; took gold ornaments; took electronic items; left no sign of tools; fled on a two-wheeler; were two or three persons; targeted a victim riding pillion; appear to have picked the target by chance.,"Case registered at TG-NIZ-02 on a complaint of chain snatching committed between 2022-02-09T05:14:00 and 2022-02-09T05:23:00. It is stated that the accused struck early in the morning, took gold ornaments, took electronic items, left no sign of tools, fled on a two-wheeler, were two or three persons, targeted a victim riding pillion and appear to have picked the target by chance. It had been raining heavily that evening. Neighbours stated they did not hear anything unusual."
TG-HAN-01/0006/2022,Hanumakonda,TG-HAN-01,ATM Offence,2022-02-08T10:36:00,2022-02-09T07:50:00,2022-02-09T20:47:00,Accused targeted an offsite ATM kiosk; fled on foot; used a gas cutter; were two or three persons; appear to have watched the place beforehand; had their faces covered; took nothing; came on foot; forced the machine open.,"Complaint received at TG-HAN-01 (Hanumakonda) regarding ATM tampering between 2022-02-08T10:36:00 and 2022-02-09T07:50:00. It is stated that the accused targeted an offsite ATM kiosk, used a gas cutter, were two or three persons, appear to have watched the place beforehand, had their faces covered, took nothing, came on foot and forced the machine open. Enquiries with nearby residents are in progress. A spot panchnama was drawn up in the presence of witnesses."
TG-NIZ-07/0004/2022,Nizamabad,TG-NIZ-07,HB - Residential,2022-02-09T04:35:00,2022-02-09T16:51:00,2022-02-09T23:07:00,Accused acted alone; entered without force; took cash; got in through the door; targeted a shop-cum-residence; came on a two-wheeler; fled on a two-wheeler; made no attempt to avoid identification.,"The complainant reported house burglary that occurred between 2022-02-09T04:35:00 and 2022-02-09T16:51:00 in Nizamabad. It is stated that the accused acted alone, struck while the occupants were out, entered without force, took cash, used a crowbar, got in through the door, targeted a shop-cum-residence, came on a two-wheeler and ransacked the place. It had been raining heavily that evening. Enquiries with nearby residents are in progress."
TG-HYD-02/0004/2022,Hyderabad,TG-HYD-02,HB - Residential,2022-02-06T08:33:00,2022-02-09T01:23:00,2022-02-10T11:17:00,Accused ransacked the place; struck while the house was locked for days; fled on a two-wheeler; left no sign of tools; climbed in via the balcony; made no attempt to avoid identification; entered without force; appear to have watched the place beforehand; acted alone.,"Case registered at TG-HYD-02 on a complaint of house burglary committed between 2022-02-06T08:33:00 and 2022-02-09T01:23:00. It is stated that the accused came on a two-wheeler, ransacked the place, struck while the house was locked for days, fled on a two-wheeler, left no sign of tools, climbed in via the balcony, made no attempt to avoid identification, entered without force, appear to have watched the place beforehand, targeted an apartment and acted alone. Nearby shops were closed at the time. A spot panchnama was drawn up in the presence of witnesses."
TG-HYD-05/0005/2022,Hyderabad,TG-HYD-05,MV Theft,2022-02-09T22:02:00,2022-02-10T05:29:00,2022-02-10T11:27:00,Accused fled on a two-wheeler; struck at night; came on a two-wheeler; were two or three persons; used a cutter; used a screwdriver; took it from residential parking; stole a motorcycle.,"Complaint received at TG-HYD-05 (Hyderabad) regarding vehicle theft between 2022-02-09T22:02:00 and 2022-02-10T05:29:00. It is stated that the accused appear to have picked the target by chance, fled on a two-wheeler, came on a two-wheeler, were two or three persons, took it from residential parking, stole a motorcycle and started it with a duplicate key. A spot panchnama was drawn up in the presence of witnesses. The total value of the stolen property is estimated at Rs. 356,614."
TG-HYD-07/0005/2022,Hyderabad,TG-HYD-07,Chain Snatching,2022-02-08,2022-02-08,2022-02-10T15:41:00,Accused used no vehicle; escaped along the main road; fled on foot; targeted a victim who was walking; had their faces covered; left no sign of tools; came on foot; took gold ornaments; took electronic items; appear to have picked the target by chance.,"Complaint received at TG-HYD-07 (Hyderabad) regarding chain snatching between 2022-02-08 and 2022-02-08. It is stated that the accused used no vehicle, were two or three persons, struck early in the morning, escaped along the main road, fled on foot, targeted a victim who was walking, had their faces covered, came on foot, took gold ornaments, took electronic items and appear to have picked the target by chance. A relative of the complainant was the first to notice. The total value of the stolen property is estimated at Rs. 396,065."
TG-HAN-03/0007/2022,Hanumakonda,TG-HAN-03,MV Theft,2022-02-07T13:07:00,2022-02-08T07:49:00,2022-02-11T00:45:00,Accused took it from a market area; fled on a two-wheeler; used a crowbar; stole a motorcycle; took a vehicle; appear to have picked the target by chance; came on foot; had their faces covered; were two or three persons.,"Case registered at TG-HAN-03 on a complaint of vehicle theft committed between 2022-02-07T13:07:00 and 2022-02-08T07:49:00. It is stated that the accused took it from a market area, fled on a two-wheeler, used a crowbar, stole a motorcycle, took a vehicle, appear to have picked the target by chance, came on foot, had their faces covered and were two or three persons. The complainant does not suspect anyone. A relative of the complainant was the first to notice."
TG-HAN-07/0006/2022,Hanumakonda,TG-HAN-07,ATM Offence,2022-02-08T22:31:00,2022-02-09T20:44:00,2022-02-11T03:21:00,Accused appear to have watched the place beforehand; used a screwdriver; used a gas cutter; fled on foot; were two or three persons; took cash; came in a four-wheeler.,"Complaint received at TG-HAN-07 (Hanumakonda) regarding ATM tampering between 2022-02-08T22:31:00 and 2022-02-09T20:44:00. It is stated that the accused appear to have watched the place beforehand, used a screwdriver, used a gas cutter, were two or three persons, took cash and came in a four-wheeler. The beat constable had passed the area about an hour earlier. Fingerprint experts visited the scene."
TG-NIZ-01/0009/2022,Nizamabad,TG-NIZ-01,MV Theft,2022-02-09T20:37:00,2022-02-11T00:02:00,2022-02-11T09:56:00,Accused had their faces covered; used a crowbar; took it from residential parking; took a vehicle; started it by joining the wires; came on a two-wheeler.,"The complainant reported vehicle theft that occurred between 2022-02-09T20:37:00 and 2022-02-11T00:02:00 in Nizamabad. It is stated that the accused had their faces covered, used a crowbar, took a vehicle, were two or three persons, started it by joining the wires and stole a car. The total value of the stolen property is estimated at Rs. 336,247. Neighbours stated they did not hear anything unusual."
TG-NIZ-07/0005/2022,Nizamabad,TG-NIZ-07,MV Theft,2022-02-11T00:28:00,2022-02-11T07:42:00,2022-02-11T12:39:00,Accused fled on a two-wheeler; took it from a public parking lot; lifted or towed it away; made no attempt to avoid identification; struck early in the morning; came on a two-wheeler; took a vehicle; stole a scooter; left no sign of tools.,"Case registered at TG-NIZ-07 on a complaint of vehicle theft committed between 2022-02-11T00:28:00 and 2022-02-11T07:42:00. It is stated that the accused fled on a two-wheeler, took it from a public parking lot, lifted or towed it away, made no attempt to avoid identification, struck early in the morning, came on a two-wheeler, took a vehicle, were two or three persons, stole a scooter and left no sign of tools. The complainant noticed the incident on returning and informed the police. A spot panchnama was drawn up in the presence of witnesses."
TG-NIZ-01/0010/2022,Nizamabad,TG-NIZ-01,HB - Commercial,2022-02-10T17:44:00,2022-02-11T06:40:00,2022-02-11T14:37:00,Accused targeted a godown; struck while the premises were closed for a holiday; acted alone; got in by lifting the shutter; came in a four-wheeler; used a screwdriver; fled in a four-wheeler; broke the lock; took cash; took electronic items; ransacked the place; had their faces covered; appear to have watched the place beforehand.,"Case registered at TG-NIZ-01 on a complaint of break-in at commercial premises committed between 2022-02-10T17:44:00 and 2022-02-11T06:40:00. It is stated that the accused targeted a godown, acted alone, got in by lifting the shutter, came in a four-wheeler, used a screwdriver, fled in a four-wheeler, broke the lock, took cash, took electronic items, ransacked the place and appear to have watched the place beforehand. Enquiries with nearby residents are in progress. Nearby shops were closed at the time."
TG-KAR-05/0008/2022,Karimnagar,TG-KAR-05,ATM Offence,2022-02-09T18:26:00,2022-02-11T00:02:00,2022-02-11T20:59:00,Accused targeted an offsite ATM kiosk; left the alarm untouched; took cash; fitted a skimming device; disabled the CCTV camera; acted alone; used a screwdriver; used a gas cutter.,"Case registered at TG-KAR-05 on a complaint of ATM tampering committed between 2022-02-09T18:26:00 and 2022-02-11T00:02:00. It is stated that the accused targeted an offsite ATM kiosk, left the alarm untouched, took cash, fitted a skimming device, acted alone, used a screwdriver, used a gas cutter and came on a two-wheeler. Fingerprint experts visited the scene. The complainant has submitted bills for some of the items."
