FIR_NO,DISTRICT,POLICE_STATION,CRIME_HEAD,OCCURRENCE_FROM,OCCURRENCE_TO,REGISTRATION_DATE,NO_OF_ACCUSED,WEAPONS_TOOLS,CONCEALMENT,TARGET_TYPE,PROPERTY_STOLEN,MODE_OF_ARRIVAL,MODE_OF_ESCAPE,PLACE_OF_ENTRY,MODE_OF_ENTRY,PREMISES_TYPE,PREMISES_STATUS,SEARCH_TYPE,VEHICLE_TYPE,VEHICLE_START_METHOD,PARKING_PLACE,OFFENDER_VEHICLE,VICTIM_ACTIVITY,ESCAPE_ROUTE,ATM_SITE_TYPE,ATM_ATTACK,ALARM_STATUS,FIR_CONTENTS
MH-PUN-04/0039/2021,Pune,MH-PUN-04,MOTOR VEHICLE THEFT,17/06/2021 20:35,18/06/2021 03:23,20/06/2021 21:25,2 TO 3,SCREW DRIVER,,CHANCE,VEHICLE,TWO WHEELER,TWO WHEELER,,,,,,MOTOR CYCLE,DUPLICATE KEY,PAY AND PARK,,,,,,,"As per the complaint, unknown persons committed vehicle theft in Pune (MH-PUN-04) sometime between 17/06/2021 20:35 and 18/06/2021 03:23. It is stated that the accused struck at night, used a screwdriver, took it from a public parking lot, were two or three persons, came on a two-wheeler, fled on a two-wheeler, stole a motorcycle, made no attempt to avoid identification, started it with a duplicate key and took a vehicle. The dog squad was summoned to the spot. The complainant noticed the incident on returning and informed the police."
MH-NAS-05/0038/2021,Nashik,MH-NAS-05,MOTOR VEHICLE THEFT,20/06/2021 04:34,20/06/2021 19:12,21/06/2021 07:13,ONE,NIL,HAND GLOVES,RECCE DONE,VEHICLE,TWO WHEELER,FOUR WHEELER,,,,,,GOODS VEHICLE,TOWED AWAY,ROADSIDE,,,,,,,"On receipt of information, it was learnt that a vehicle theft occurred in Nashik between 20/06/2021 04:34 and 20/06/2021 19:12. It is stated that the accused acted alone, left no sign of tools, took it from the roadside, came on a two-wheeler, took a vehicle, lifted or towed it away, fled in a four-wheeler and appear to have watched the place beforehand. The total value of the stolen property is estimated at Rs. 65,916. The complainant does not suspect anyone."
MH-KOL-08/0048/2021,Kolhapur,MH-KOL-08,MOTOR VEHICLE THEFT,21/06/2021 01:03,21/06/2021 02:24,21/06/2021 08:38,2 TO 3,CUTTER,NIL,,VEHICLE,TWO WHEELER,TWO WHEELER,,,,,,MOTOR CYCLE,DIRECT CONNECTION,SOCIETY PARKING,,,,,,,"On receipt of information, it was learnt that a vehicle theft occurred in Kolhapur between 21/06/2021 01:03 and 21/06/2021 02:24. It is stated that the accused stole a motorcycle, came on a two-wheeler, made no attempt to avoid identification, struck at night, used a cutter, fled on a two-wheeler, were two or three persons, started it by joining the wires and took a vehicle. The complainant has submitted bills for some of the items. Nearby shops were closed at the time."
MH-NAS-08/0029/2021,Nashik,MH-NAS-08,ATM TAMPERING,21/06/2021 01:28,21/06/2021 07:16,21/06/2021 10:42,ONE,GAS CUTTER,CCTV DAMAGED,,CASH,FOUR WHEELER,FOUR WHEELER,,,,,,,,,,,,OFFSITE ATM,,ALARM INTACT,"As per the complaint, unknown persons committed ATM tampering in Nashik (MH-NAS-08) sometime between 21/06/2021 01:28 and 21/06/2021 07:16. It is stated that the accused used a gas cutter, disabled the CCTV camera, acted alone, fled in a four-wheeler, took cash, targeted an offsite ATM kiosk and struck early in the morning. A relative of the complainant was the first to notice. The complainant has submitted bills for some of the items."
MH-NAG-01/0032/2021,Nagpur,MH-NAG-01,CHAIN SNATCHING,21/06/2021 04:10,21/06/2021 04:18,21/06/2021 11:24,,NIL,NIL,,GOLD ORNAMENTS,TWO WHEELER,,,,,,,,,,MOTOR CYCLE,MORNING WALK,MAIN ROAD,,,,"On receipt of information, it was learnt that a chain snatching occurred in Nagpur between 21/06/2021 04:10 and 21/06/2021 04:18. It is stated that the accused rode a motorcycle, took gold ornaments, came on a two-wheeler, left no sign of tools, made no attempt to avoid identification and escaped along the main road. Enquiries with nearby residents are in progress. Fingerprint experts visited the scene."
MH-NAG-07/0032/2021,Nagpur,MH-NAG-07,MOTOR VEHICLE THEFT,20/06/2021 09:58,21/06/2021 06:11,21/06/2021 12:12,ONE,SCREW DRIVER,NIL,CHANCE,VEHICLE,ON FOOT,TWO WHEELER,,,,,,SCOOTER,HANDLE LOCK BROKEN,SOCIETY PARKING,,,,,,,"On receipt of information, it was learnt that a vehicle theft occurred in Nagpur between 20/06/2021 09:58 and 21/06/2021 06:11. It is stated that the accused fled on a two-wheeler, appear to have picked the target by chance, stole a scooter, came on foot, used a screwdriver, made no attempt to avoid identification, broke the handle lock and acted alone. A spot panchnama was drawn up in the presence of witnesses. It had been raining heavily that evening."
MH-PUN-07/0029/2021,Pune,MH-PUN-07,MOTOR VEHICLE THEFT,20/06/2021 15:17,20/06/2021 18:05,21/06/2021 12:26,2 TO 3,CROWBAR,NIL,,DOCUMENTS;VEHICLE,TWO WHEELER,FOUR WHEELER,,,,,,CAR,DUPLICATE KEY,SOCIETY PARKING,,,,,,,"As per the complaint, unknown persons committed vehicle theft in Pune (MH-PUN-07) sometime between 20/06/2021 15:17 and 20/06/2021 18:05. It is stated that the accused took it from residential parking, fled in a four-wheeler, came on a two-wheeler, made no attempt to avoid identification, struck during the day, took documents, took a vehicle, started it with a duplicate key and were two or three persons. Street lights in the area were reported not working. Enquiries with nearby residents are in progress."
MH-PUN-05/0030/2021,Pune,MH-PUN-05,HOUSE BREAKING,20/06/2021 15:22,21/06/2021 07:49,21/06/2021 13:40,ONE,NIL,,,GOLD ORNAMENTS;ELECTRONIC ITEMS,ON FOOT,ON FOOT,MAIN DOOR,,FLAT,LOCKED - OWNER OUT,SELECTIVE,,,,,,,,,,"On receipt of information, it was learnt that a house burglary occurred in Pune between 20/06/2021 15:22 and 21/06/2021 07:49. It is stated that the accused acted alone, got in through the door, took only selected valuables, took gold ornaments, took electronic items, came on foot, fled on foot, struck while the occupants were out, left no sign of tools and targeted an apartment. It had been raining heavily that evening. A relative of the complainant was the first to notice."
MH-KOL-03/0028/2021,Kolhapur,MH-KOL-03,MOTOR VEHICLE THEFT,20/06/2021 22:36,21/06/2021 01:44,21/06/2021 13:45,ONE,SCREW DRIVER,,,VEHICLE,ON FOOT,TWO WHEELER,,,,,,SCOOTER,TOWED AWAY,RLY STN / BUS STAND,,,,,,,"On receipt of information, it was learnt that a vehicle theft occurred in Kolhapur between 20/06/2021 22:36 and 21/06/2021 01:44. It is stated that the accused struck at night, fled on a two-wheeler, acted alone, took it from station parking, took a vehicle, lifted or towed it away, used a screwdriver, stole a scooter and came on foot. The complainant noticed the incident on returning and informed the police. Fingerprint experts visited the scene."
MH-KOL-03/0029/2021,Kolhapur,MH-KOL-03,MOTOR VEHICLE THEFT,20/06/2021 12:17,20/06/2021 18:05,21/06/2021 17:54,2 TO 3,SCREW DRIVER,NIL,CHANCE,DOCUMENTS;VEHICLE,ON FOOT,,,,,,,CAR,DUPLICATE KEY,ROADSIDE,,,,,,,"Complainant reports that a vehicle theft took place within MH-KOL-03 police station limits, Kolhapur, between 20/06/2021 12:17 and 20/06/2021 18:05. It is stated that the accused were two or three persons, started it with a duplicate key, took it from the roadside, stole a car, made no attempt to avoid identification, came on foot, appear to have picked the target by chance and used a screwdriver. A spot panchnama was drawn up in the presence of witnesses."
MH-PUN-04/0040/2021,Pune,MH-PUN-04,CHAIN SNATCHING,21/06/2021 16:46,21/06/2021 16:57,22/06/2021 01:16,2 TO 3,NIL,,,GOLD ORNAMENTS,ON FOOT,TWO WHEELER,,,,,,,,,MOTOR CYCLE,WALKING,MAIN ROAD,,,,"On receipt of information, it was learnt that a chain snatching occurred in Pune between 21/06/2021 16:46 and 21/06/2021 16:57. It is stated that the accused were two or three persons, left no sign of tools, fled on a two-wheeler, struck during the day, took gold ornaments, came on foot and targeted a victim who was walking. Fingerprint experts visited the scene. Street lights in the area were reported not working."
MH-KOL-07/0039/2021,Kolhapur,MH-KOL-07,HOUSE BREAKING,18/06/2021 06:31,18/06/2021 08:24,22/06/2021 02:29,2 TO 3,SCREW DRIVER,NIL,CHANCE,GOLD ORNAMENTS;CASH,TWO WHEELER,TWO WHEELER,MAIN DOOR,,FLAT,LOCKED - OWNER OUT,RANSACKED,,,,,,,,,,"On receipt of information, it was learnt that a house burglary occurred in Kolhapur between 18/06/2021 06:31 and 18/06/2021 08:24. It is stated that the accused got in through the door, appear to have picked the target by chance, used a screwdriver, were two or three persons and targeted an apartment. A relative of the complainant was the first to notice."
MH-THA-08/0040/2021,Thane,MH-THA-08,CHAIN SNATCHING,21/06/2021 12:54,21/06/2021 12:59,22/06/2021 02:51,,NIL,NIL,CHANCE,CASH,TWO WHEELER,TWO WHEELER,,,,,,,,,SCOOTER,WALKING,MAIN ROAD,,,,"Complainant reports that a chain snatching took place within MH-THA-08 police station limits, Thane, between 21/06/2021 12:54 and 21/06/2021 12:59. It is stated that the accused made no attempt to avoid identification, rode a scooter, struck during the day, took cash, fled on a two-wheeler, were two or three persons, came on a two-wheeler, targeted a victim who was walking and left no sign of tools. A relative of the complainant was the first to notice. Street lights in the area were reported not working."
MH-NAG-03/0032/2021,Nagpur,MH-NAG-03,MOTOR VEHICLE THEFT,21/06/2021 09:57,21/06/2021 11:08,22/06/2021 03:39,2 TO 3,NIL,NIL,CHANCE,VEHICLE,ON FOOT,FOUR WHEELER,,,,,,GOODS VEHICLE,DUPLICATE KEY,MARKET AREA,,,,,,,"Complainant reports that a vehicle theft took place within MH-NAG-03 police station limits, Nagpur, between 21/06/2021 09:57 and 21/06/2021 11:08. It is stated that the accused made no attempt to avoid identification, took it from a market area, took a vehicle, appear to have picked the target by chance, stole a goods vehicle, fled in a four-wheeler, struck during the day, started it with a duplicate key, came on foot and left no sign of tools. The dog squad was summoned to the spot. Neighbours stated they did not hear anything unusual."
MH-KOL-03/0030/2021,Kolhapur,MH-KOL-03,HOUSE BREAKING,21/06/2021 15:44,21/06/2021 19:56,22/06/2021 04:26,4 AND ABOVE,NIL,,CHANCE,GOLD ORNAMENTS;CASH;ELECTRONIC ITEMS;VEHICLE,,ON FOOT,MAIN DOOR,DOOR FORCED,FLAT,LOCKED - OWNER OUT,,,,,,,,,,,"As per the complaint, unknown persons committed house burglary in Kolhapur (MH-KOL-03) sometime between 21/06/2021 15:44 and 21/06/2021 19:56. It is stated that the accused left no sign of tools, fled on foot, struck while the occupants were out, struck during the day, appear to have picked the target by chance, got in through the door, were a group of four or more, took gold ornaments, took cash, took electronic items, took a vehicle, targeted an apartment and forced the door open. Fingerprint experts visited the scene. The dog squad was summoned to the spot."
MH-PUN-05/0031/2021,Pune,MH-PUN-05,CHAIN SNATCHING,22/06/2021 06:08,22/06/2021 06:17,22/06/2021 12:15,2 TO 3,NIL,NIL,CHANCE,GOLD ORNAMENTS,TWO WHEELER,,,,,,,,,,MOTOR CYCLE,,HIGHWAY,,,,"As per the complaint, unknown persons committed chain snatching in Pune (MH-PUN-05) sometime between 22/06/2021 06:08 and 22/06/2021 06:17. It is stated that the accused rode a motorcycle, left no sign of tools, made no attempt to avoid identification, escaped towards the highway, were two or three persons, appear to have picked the target by chance, took gold ornaments, struck early in the morning and came on a two-wheeler. The complainant has submitted bills for some of the items. It had been raining heavily that evening."
MH-NAG-04/0020/2021,Nagpur,MH-NAG-04,CHAIN SNATCHING,21/06/2021 09:03,21/06/2021 09:08,22/06/2021 15:18,2 TO 3,NIL,NIL,CHANCE,GOLD ORNAMENTS,TWO WHEELER,TWO WHEELER,,,,,,,,,SCOOTER,MORNING WALK,MAIN ROAD,,,,"Complainant reports that a chain snatching took place within MH-NAG-04 police station limits, Nagpur, between 21/06/2021 09:03 and 21/06/2021 09:08. It is stated that the accused rode a scooter, struck during the day, came on a two-wheeler, appear to have picked the target by chance, escaped along the main road and made no attempt to avoid identification. Fingerprint experts visited the scene. The total value of the stolen property is estimated at Rs. 221,354."
MH-NAG-02/0033/2021,Nagpur,MH-NAG-02,MOTOR VEHICLE THEFT,19/06/2021 23:06,21/06/2021 01:13,22/06/2021 17:18,ONE,SCREW DRIVER,NIL,CHANCE,VEHICLE,TWO WHEELER,TWO WHEELER,,,,,,MOTOR CYCLE,DUPLICATE KEY,SOCIETY PARKING,,,,,,,"As per the complaint, unknown persons committed vehicle theft in Nagpur (MH-NAG-02) sometime between 19/06/2021 23:06 and 21/06/2021 01:13. It is stated that the accused stole a motorcycle, started it with a duplicate key, took a vehicle, came on a two-wheeler, acted alone, used a screwdriver, fled on a two-wheeler, appear to have picked the target by chance, made no attempt to avoid identification and took it from residential parking. The total value of the stolen property is estimated at Rs. 63,703. Neighbours stated they did not hear anything unusual."
MH-THA-04/0032/2021,Thane,MH-THA-04,CHAIN SNATCHING,22/06/2021 09:08,22/06/2021 09:19,22/06/2021 18:04,2 TO 3,NIL,,CHANCE,NIL,TWO WHEELER,TWO WHEELER,,,,,,,,,MOTOR CYCLE,MORNING WALK,BY LANES,,,,"On receipt of information, it was learnt that a chain snatching occurred in Thane between 22/06/2021 09:08 and 22/06/2021 09:19. It is stated that the accused appear to have picked the target by chance, left no sign of tools, struck during the day, targeted a victim on a morning walk, came on a two-wheeler, rode a motorcycle, escaped through the lanes, fled on a two-wheeler and were two or three persons. Fingerprint experts visited the scene. A spot panchnama was drawn up in the presence of witnesses."
MH-NAS-08/0030/2021,Nashik,MH-NAS-08,SHOP BREAKING,22/06/2021 12:49,22/06/2021 15:11,22/06/2021 18:34,ONE,NIL,NIL,CHANCE,GOLD ORNAMENTS;DOCUMENTS,,TWO WHEELER,BALCONY,LOCK BROKEN,FLAT,OCCUPIED,RANSACKED,,,,,,,,,,"Complainant reports that a break-in at commercial premises took place within MH-NAS-08 police station limits, Nashik, between 22/06/2021 12:49 and 22/06/2021 15:11. It is stated that the accused fled on a two-wheeler, left no sign of tools, targeted an apartment, broke the lock, ransacked the place, climbed in via the balcony, made no attempt to avoid identification, struck during the day, acted alone, struck while the occupants were inside and appear to have picked the target by chance. The dog squad was summoned to the spot. Street lights in the area were reported not working."
MH-NAG-01/0033/2021,Nagpur,MH-NAG-01,CHAIN SNATCHING,22/06/2021 11:14,22/06/2021 11:20,22/06/2021 20:46,2 TO 3,NIL,,CHANCE,NIL,ON FOOT,ON FOOT,,,,,,,,,,WALKING,MAIN ROAD,,,,"On receipt of information, it was learnt that a chain snatching occurred in Nagpur between 22/06/2021 11:14 and 22/06/2021 11:20. It is stated that the accused targeted a victim who was walking, used no vehicle, appear to have picked the target by chance, were two or three persons, took nothing, struck during the day, fled on foot, left no sign of tools, escaped along the main road and came on foot. A spot panchnama was drawn up in the presence of witnesses. Fingerprint experts visited the scene."
MH-KOL-01/0032/2021,Kolhapur,MH-KOL-01,ATM TAMPERING,20/06/2021 23:08,21/06/2021 10:00,22/06/2021 22:35,2 TO 3,NIL,NIL,,CASH,TWO WHEELER,TWO WHEELER,,,,,,,,,,,,,CASH TRAP,ALARM DISABLED,"As per the complaint, unknown persons committed ATM tampering in Kolhapur (MH-KOL-01) sometime between 20/06/2021 23:08 and 21/06/2021 10:00. It is stated that the accused struck early in the morning, fitted a cash trap, made no attempt to avoid identification, fled on a two-wheeler, came on a two-wheeler, were two or three persons, took cash and left no sign of tools. The beat constable had passed the area about an hour earlier."
MH-PUN-08/0033/2021,Pune,MH-PUN-08,MOTOR VEHICLE THEFT,21/06/2021 14:50,21/06/2021 17:19,23/06/2021 04:39,ONE,NIL,HAND GLOVES,RECCE DONE,VEHICLE,FOUR WHEELER,TWO WHEELER,,,,,,SCOOTER,DUPLICATE KEY,ROADSIDE,,,,,,,"On receipt of information, it was learnt that a vehicle theft occurred in Pune between 21/06/2021 14:50 and 21/06/2021 17:19. It is stated that the accused wore gloves, acted alone, started it with a duplicate key, came in a four-wheeler, left no sign of tools, stole a scooter, struck during the day and fled on a two-wheeler. The dog squad was summoned to the spot. The complainant has submitted bills for some of the items."
MH-NAS-03/0035/2021,Nashik,MH-NAS-03,MOTOR VEHICLE THEFT,19/06/2021 21:05,20/06/2021 04:43,23/06/2021 05:55,2 TO 3,SCREW DRIVER,NIL,CHANCE,VEHICLE,ON FOOT,,,,,,,MOTOR CYCLE,,ROADSIDE,,,,,,,"Complainant reports that a vehicle theft took place within MH-NAS-03 police station limits, Nashik, between 19/06/2021 21:05 and 20/06/2021 04:43. It is stated that the accused came on foot, took a vehicle, took it from the roadside, struck at night, were two or three persons and appear to have picked the target by chance. A relative of the complainant was the first to notice. The complainant noticed the incident on returning and informed the police."
MH-NAG-07/0033/2021,Nagpur,MH-NAG-07,ATM TAMPERING,21/06/2021 19:50,22/06/2021 03:41,23/06/2021 06:05,2 TO 3,GAS CUTTER,FACE MASKED,RECCE DONE,CASH,TWO WHEELER,TWO WHEELER,,,,,,,,,,,,BRANCH ATM,SKIMMER FITTED,ALARM DISABLED,"Complainant reports that a ATM tampering took place within MH-NAG-07 police station limits, Nagpur, between 21/06/2021 19:50 and 22/06/2021 03:41. It is stated that the accused came on a two-wheeler, took cash, fitted a skimming device, targeted an ATM at a bank branch, had their faces covered, were two or three persons, struck at night and used a gas cutter. Street lights in the area were reported not working. Neighbours stated they did not hear anything unusual."
MH-KOL-05/0029/2021,Kolhapur,MH-KOL-05,MOTOR VEHICLE THEFT,22/06/2021,23/06/2021,23/06/2021 09:52,2 TO 3,,NIL,CHANCE,,,TWO WHEELER,,,,,,,HANDLE LOCK BROKEN,SOCIETY PARKING,,,,,,,"As per the complaint, unknown persons committed vehicle theft in Kolhapur (MH-KOL-05) sometime between 22/06/2021 and 23/06/2021. It is stated that the accused took it from residential parking, made no attempt to avoid identification, fled on a two-wheeler, appear to have picked the target by chance, broke the handle lock and were two or three persons. The beat constable had passed the area about an hour earlier. Neighbours stated they did not hear anything unusual."
MH-PUN-02/0036/2021,Pune,MH-PUN-02,MOTOR VEHICLE THEFT,23/06/2021 02:01,23/06/2021 06:03,23/06/2021 15:40,2 TO 3,CROWBAR,NIL,INSIDE INFORMATION,VEHICLE,ON FOOT,FOUR WHEELER,,,,,,CAR,KEY IN VEHICLE,SOCIETY PARKING,,,,,,,"Complainant reports that a vehicle theft took place within MH-PUN-02 police station limits, Pune, between 23/06/2021 02:01 and 23/06/2021 06:03. It is stated that the accused came on foot, took it from residential parking, appear to have had inside information, took a vehicle, struck early in the morning and were two or three persons. Nearby shops were closed at the time. A relative of the complainant was the first to notice."
MH-PUN-04/0041/2021,Pune,MH-PUN-04,MOTOR VEHICLE THEFT,22/06/2021 07:13,22/06/2021 23:09,23/06/2021 20:14,2 TO 3,NIL,NIL,,VEHICLE,,FOUR WHEELER,,,,,,CAR,HANDLE LOCK BROKEN,ROADSIDE,,,,,,,"As per the complaint, unknown persons committed vehicle theft in Pune (MH-PUN-04) sometime between 22/06/2021 07:13 and 22/06/2021 23:09. It is stated that the accused made no attempt to avoid identification, took a vehicle, took it from the roadside, fled in a four-wheeler, broke the handle lock, stole a car and left no sign of tools. A relative of the complainant was the first to notice. Fingerprint experts visited the scene."
MH-PUN-03/0041/2021,Pune,MH-PUN-03,MOTOR VEHICLE THEFT,20/06/2021 00:17,21/06/2021 06:56,23/06/2021 23:38,2 TO 3,CROWBAR,NIL,,VEHICLE,TWO WHEELER,ON FOOT,,,,,,,KEY IN VEHICLE,,,,,,,,"Complainant reports that a vehicle theft took place within MH-PUN-03 police station limits, Pune, between 20/06/2021 00:17 and 21/06/2021 06:56. It is stated that the accused came on a two-wheeler, took a vehicle, used a crowbar, were two or three persons, found the key left in the vehicle and fled on foot. The complainant has submitted bills for some of the items."
MH-NAG-07/0034/2021,Nagpur,MH-NAG-07,ATM TAMPERING,22/06/2021 02:00,22/06/2021 08:51,24/06/2021 00:33,4 AND ABOVE,GAS CUTTER,CCTV DAMAGED,,CASH,FOUR WHEELER,FOUR WHEELER,,,,,,,,,,,,OFFSITE ATM,GAS CUT,ALARM INTACT,"On receipt of information, it was learnt that a ATM tampering occurred in Nagpur between 22/06/2021 02:00 and 22/06/2021 08:51. It is stated that the accused struck early in the morning, cut the machine open with gas, targeted an offsite ATM kiosk, used a gas cutter and were a group of four or more. The complainant has submitted bills for some of the items. The dog squad was summoned to the spot."
MH-KOL-04/0045/2021,Kolhapur,MH-KOL-04,MOTOR VEHICLE THEFT,18/06/2021 12:29,18/06/2021 17:27,24/06/2021 09:31,ONE,,NIL,CHANCE,VEHICLE,FOUR WHEELER,TWO WHEELER,,,,,,MOTOR CYCLE,DIRECT CONNECTION,SOCIETY PARKING,,,,,,,"As per the complaint, unknown persons committed vehicle theft in Kolhapur (MH-KOL-04) sometime between 18/06/2021 12:29 and 18/06/2021 17:27. It is stated that the accused started it by joining the wires, appear to have picked the target by chance, came in a four-wheeler, acted alone, fled on a two-wheeler and took it from residential parking. The total value of the stolen property is estimated at Rs. 261,537. The complainant does not suspect anyone."
MH-NAS-05/0039/2021,Nashik,MH-NAS-05,CHAIN SNATCHING,24/06/2021 09:43,24/06/2021 09:47,24/06/2021 17:41,2 TO 3,NIL,FACE MASKED,CHANCE,GOLD ORNAMENTS,TWO WHEELER,TWO WHEELER,,,,,,,,,,WALKING,,,,,"Complainant reports that a chain snatching took place within MH-NAS-05 police station limits, Nashik, between 24/06/2021 09:43 and 24/06/2021 09:47. It is stated that the accused took gold ornaments, struck during the day, fled on a two-wheeler, had their faces covered, appear to have picked the target by chance, targeted a victim who was walking, came on a two-wheeler and were two or three persons. Nearby shops were closed at the time. The total value of the stolen property is estimated at Rs. 351,171."
MH-NAS-05/0040/2021,Nashik,MH-NAS-05,MOTOR VEHICLE THEFT,23/06/2021 21:07,24/06/2021 06:41,24/06/2021 19:44,2 TO 3,SCREW DRIVER,,CHANCE,DOCUMENTS;VEHICLE,ON FOOT,TWO WHEELER,,,,,,MOTOR CYCLE,TOWED AWAY,SOCIETY PARKING,,,,,,,"On receipt of information, it was learnt that a vehicle theft occurred in Nashik between 23/06/2021 21:07 and 24/06/2021 06:41. It is stated that the accused took documents, took a vehicle, struck at night, took it from residential parking, stole a motorcycle, used a screwdriver and fled on a two-wheeler. Enquiries with nearby residents are in progress. The beat constable had passed the area about an hour earlier."
MH-KOL-08/0049/2021,Kolhapur,MH-KOL-08,HOUSE BREAKING,21/06/2021 22:25,22/06/2021 09:39,24/06/2021 20:22,2 TO 3,CUTTER,NIL,,GOLD ORNAMENTS;ELECTRONIC ITEMS,ON FOOT,ON FOOT,WALL HOLE,DUPLICATE KEY,FLAT,LOCKED - OWNER OUT,SELECTIVE,,,,,,,,,,"Complainant reports that a house burglary took place within MH-KOL-08 police station limits, Kolhapur, between 21/06/2021 22:25 and 22/06/2021 09:39. It is stated that the accused used a cutter, took only selected valuables, made a hole in the wall, struck while the occupants were out, appear to have picked the target by chance, targeted an apartment, took gold ornaments, took electronic items, came on foot and were two or three persons. The dog squad was summoned to the spot. Neighbours stated they did not hear anything unusual."
MH-PUN-05/0032/2021,Pune,MH-PUN-05,SHOP BREAKING,24/06/2021 01:30,24/06/2021 16:58,24/06/2021 23:01,4 AND ABOVE,CROWBAR,NIL,CHANCE,GOLD ORNAMENTS;CASH;ELECTRONIC ITEMS,ON FOOT,ON FOOT,SHUTTER,LOCK BROKEN,SHOP,CLOSED FOR NIGHT,DIRECT TO VALUABLES,,,,,,,,,,"Complainant reports that a break-in at commercial premises took place within MH-PUN-05 police station limits, Pune, between 24/06/2021 01:30 and 24/06/2021 16:58. It is stated that the accused used a crowbar, targeted a shop, took gold ornaments, took cash, took electronic items, broke the lock, were a group of four or more, went straight to where the valuables were kept, fled on foot and came on foot. The dog squad was summoned to the spot. The complainant has submitted bills for some of the items."
MH-THA-01/0033/2021,Thane,MH-THA-01,HOUSE BREAKING,24/06/2021 20:38,24/06/2021 23:15,25/06/2021 03:43,ONE,NIL,NIL,CHANCE,GOLD ORNAMENTS,ON FOOT,ON FOOT,MAIN DOOR,DUPLICATE KEY,FLAT,OCCUPIED,RANSACKED,,,,,,,,,,"Complainant reports that a house burglary took place within MH-THA-01 police station limits, Thane, between 24/06/2021 20:38 and 24/06/2021 23:15. It is stated that the accused left no sign of tools, took gold ornaments, appear to have picked the target by chance, came on foot, struck during the day, struck while the occupants were inside, made no attempt to avoid identification, acted alone, fled on foot and ransacked the place. The beat constable had passed the area about an hour earlier. A spot panchnama was drawn up in the presence of witnesses."
MH-THA-05/0044/2021,Thane,MH-THA-05,HOUSE BREAKING,22/06/2021 13:52,23/06/2021 04:25,25/06/2021 04:04,,NIL,NIL,CHANCE,ELECTRONIC ITEMS,TWO WHEELER,TWO WHEELER,MAIN DOOR,GRILL CUT,FLAT,LOCKED - OWNER OUT,RANSACKED,,,,,,,,,,"As per the complaint, unknown persons committed house burglary in Thane (MH-THA-05) sometime between 22/06/2021 13:52 and 23/06/2021 04:25. It is stated that the accused cut the grill, came on a two-wheeler, struck while the occupants were out, left no sign of tools, fled on a two-wheeler, took electronic items and targeted an apartment. The complainant has submitted bills for some of the items."
MH-THA-06/0043/2021,Thane,MH-THA-06,MOTOR VEHICLE THEFT,20/06/2021 23:35,21/06/2021 07:01,25/06/2021 05:29,2 TO 3,SCREW DRIVER,NIL,,VEHICLE,ON FOOT,TWO WHEELER,,,,,,MOTOR CYCLE,,SOCIETY PARKING,,,,,,,"On receipt of information, it was learnt that a vehicle theft occurred in Thane between 20/06/2021 23:35 and 21/06/2021 07:01. It is stated that the accused were two or three persons, took a vehicle, struck at night, made no attempt to avoid identification, used a screwdriver, came on foot and took it from residential parking. Neighbours stated they did not hear anything unusual. The beat constable had passed the area about an hour earlier."
MH-THA-01/0034/2021,Thane,MH-THA-01,HOUSE BREAKING,24/06/2021 20:48,25/06/2021 03:43,25/06/2021 06:40,ONE,NIL,NIL,CHANCE,GOLD ORNAMENTS;CASH,ON FOOT,ON FOOT,MAIN DOOR,LOCK BROKEN,FLAT,LOCKED - OWNER OUT,SELECTIVE,,,,,,,,,,"On receipt of information, it was learnt that a house burglary occurred in Thane between 24/06/2021 20:48 and 25/06/2021 03:43. It is stated that the accused struck while the occupants were out, got in through the door, broke the lock, made no attempt to avoid identification, acted alone, left no sign of tools, came on foot, fled on foot, took gold ornaments, took cash, targeted an apartment, struck at night and took only selected valuables. The dog squad was summoned to the spot. It had been raining heavily that evening."
MH-NAS-05/0041/2021,Nashik,MH-NAS-05,MOTOR VEHICLE THEFT,23/06/2021 12:12,23/06/2021 17:47,25/06/2021 07:07,ONE,NIL,NIL,,DOCUMENTS;VEHICLE,ON FOOT,TWO WHEELER,,,,,,SCOOTER,KEY IN VEHICLE,PAY AND PARK,,,,,,,"On receipt of information, it was learnt that a vehicle theft occurred in Nashik between 23/06/2021 12:12 and 23/06/2021 17:47. It is stated that the accused struck during the day, found the key left in the vehicle, fled on a two-wheeler, left no sign of tools, took documents, took a vehicle, acted alone and took it from a public parking lot. The beat constable had passed the area about an hour earlier. The complainant noticed the incident on returning and informed the police."
MH-THA-06/0044/2021,Thane,MH-THA-06,MOTOR VEHICLE THEFT,20/06/2021 10:04,21/06/2021 02:25,25/06/2021 08:14,2 TO 3,NIL,NIL,CHANCE,VEHICLE,ON FOOT,FOUR WHEELER,,,,,,GOODS VEHICLE,DUPLICATE KEY,SOCIETY PARKING,,,,,,,"As per the complaint, unknown persons committed vehicle theft in Thane (MH-THA-06) sometime between 20/06/2021 10:04 and 21/06/2021 02:25. It is stated that the accused stole a goods vehicle, took it from residential parking, left no sign of tools, came on foot, started it with a duplicate key, fled in a four-wheeler, made no attempt to avoid identification, took a vehicle and appear to have picked the target by chance. The total value of the stolen property is estimated at Rs. 419,999. The complainant noticed the incident on returning and informed the police."
